experiment,participant_id,trial_id,trial_order,phase_id,prime,target,response,response_correct,accuracy,rt,age,gender,hand
semantic_priming,53,exp1_t2,2,judgment,ulivo,acore,1.0,0,0.0,0.034715,25,F,right
semantic_priming,9,exp1_t2,2,judgment,ulivo,acore,0.0,0,1.0,0.901375,26,F,right
semantic_priming,61,exp1_t2,2,judgment,ulivo,acore,0.0,0,1.0,0.98707,25,M,right
semantic_priming,2,exp1_t2,2,judgment,ulivo,acore,0.0,0,1.0,0.67,27,F,right
semantic_priming,35,exp1_t2,2,judgment,ulivo,acore,0.0,0,1.0,0.787,23,M,right
semantic_priming,30,exp1_t2,2,judgment,ulivo,acore,0.0,0,1.0,1.117525,27,F,right
semantic_priming,33,exp1_t2,2,judgment,ulivo,acore,0.0,0,1.0,0.683,22,M,right
semantic_priming,1,exp1_t2,2,judgment,ulivo,acore,0.0,0,1.0,1.332,21,M,right
semantic_priming,48,exp1_t2,2,judgment,ulivo,acore,0.0,0,1.0,0.97199,21,F,right
semantic_priming,52,exp1_t2,2,judgment,ulivo,acore,0.0,0,1.0,0.712,22,F,right
semantic_priming,24,exp1_t2,2,judgment,ulivo,acore,0.0,0,1.0,0.66487,22,F,right
semantic_priming,56,exp1_t2,2,judgment,ulivo,acore,0.0,0,1.0,0.57436,22,M,left
semantic_priming,71,exp1_t2,2,judgment,ulivo,acore,0.0,0,1.0,0.515085,21,M,right
semantic_priming,64,exp1_t2,2,judgment,ulivo,acore,0.0,0,1.0,1.450185,24,M,right
semantic_priming,74,exp1_t2,2,judgment,ulivo,acore,0.0,0,1.0,0.78166,24,M,right
semantic_priming,10,exp1_t2,2,judgment,ulivo,acore,0.0,0,1.0,0.448005,23,F,right
semantic_priming,51,exp1_t2,2,judgment,ulivo,acore,0.0,0,1.0,0.88729,25,M,right
semantic_priming,3,exp1_t2,2,judgment,ulivo,acore,0.0,0,1.0,0.565,21,F,right
semantic_priming,70,exp1_t2,2,judgment,ulivo,acore,0.0,0,1.0,0.782865,24,F,right
semantic_priming,69,exp1_t2,2,judgment,ulivo,acore,0.0,0,1.0,1.368065,24,F,right
semantic_priming,39,exp1_t2,2,judgment,ulivo,acore,0.0,0,1.0,0.575095,28,F,right
semantic_priming,50,exp1_t2,2,judgment,ulivo,acore,1.0,0,0.0,0.537,22,F,right
semantic_priming,12,exp1_t2,2,judgment,ulivo,acore,0.0,0,1.0,0.48676,23,M,right
semantic_priming,26,exp1_t2,2,judgment,ulivo,acore,0.0,0,1.0,0.868895,21,F,right
semantic_priming,25,exp1_t2,2,judgment,ulivo,acore,0.0,0,1.0,0.58992,21,F,right
semantic_priming,36,exp1_t2,2,judgment,ulivo,acore,0.0,0,1.0,0.750515,21,M,right
semantic_priming,62,exp1_t2,2,judgment,ulivo,acore,1.0,0,0.0,0.798385,24,M,left
semantic_priming,6,exp1_t2,2,judgment,ulivo,acore,0.0,0,1.0,0.703435,30,F,right
semantic_priming,58,exp1_t2,2,judgment,ulivo,acore,0.0,0,1.0,1.11441,33,F,right
