correct	correct_response	count_exp_sequence	leksikalnost	rec	response	response_time	trial_number	naziv_fajla	exp_title
0	1	23	rec	RANJENOM	3	605	71	subject-81.csv	PRIDEVI_A
1	1	24	rec	ČUDNOJ	1	470	9	subject-81.csv	PRIDEVI_A
1	3	25	pseudorec	BUŽNOM	3	542	174	subject-81.csv	PRIDEVI_A
1	1	26	rec	MEKOG	1	405	37	subject-81.csv	PRIDEVI_A
0	3	27	pseudorec	MORIVOM	1	503	148	subject-81.csv	PRIDEVI_A
1	3	28	pseudorec	GILANOG	3	642	121	subject-81.csv	PRIDEVI_A
0	3	29	pseudorec	TEZIVOG	1	433	123	subject-81.csv	PRIDEVI_A
0	1	30	rec	TUŽNOG	3	455	94	subject-81.csv	PRIDEVI_A
1	3	31	pseudorec	LARUTOG	3	539	114	subject-81.csv	PRIDEVI_A
1	3	32	pseudorec	FLARATOJ	3	619	203	subject-81.csv	PRIDEVI_A
1	3	33	pseudorec	PIKANOG	3	537	125	subject-81.csv	PRIDEVI_A
0	1	34	rec	ZLOJ	3	488	102	subject-81.csv	PRIDEVI_A
1	3	35	pseudorec	LANKOJ	3	625	200	subject-81.csv	PRIDEVI_A
1	3	36	pseudorec	STROSOM	3	663	176	subject-81.csv	PRIDEVI_A
1	3	37	pseudorec	LATNOG	3	530	134	subject-81.csv	PRIDEVI_A
1	1	38	rec	SMRTNOG	1	444	82	subject-81.csv	PRIDEVI_A
1	3	39	pseudorec	VETANOG	3	474	124	subject-81.csv	PRIDEVI_A
1	3	40	pseudorec	SUDAVOM	3	484	161	subject-81.csv	PRIDEVI_A
1	3	41	pseudorec	PEFENOM	3	341	170	subject-81.csv	PRIDEVI_A
1	1	42	rec	ŠIROKOM	1	428	77	subject-81.csv	PRIDEVI_A
1	1	43	rec	ČITAVOM	1	391	8	subject-81.csv	PRIDEVI_A
1	1	44	rec	PRAVILNOM	1	456	65	subject-81.csv	PRIDEVI_A
