participant_id,trial_id,stimulus,response1,response2,response3,response4,response5,response6,response7,response8,response9,response10,response11,response12,response13,response14,response15,response16,response17,response18,response19,response20
25,17,KIDNEY,steak,gravy,urine,wee,piss,tender,meat,cow,sheep,human,brain,blood,clear,clean,ovary,womb,lungs,breathe,cake,mouth
25,20,MAGNIFY,zoom,space,wide,photo,trees,picture,dogs,fast,run,edit,blur,blind,text,loaf,hole,deep,mine,lift,shaft,in
25,21,MONASTERY,church,spire,monk,building,stone,cold,roof,thatch,music,organ,speech,old,beard,coat,red,seat,wood,floor,gravel,end
25,29,RADIO,sounds,bbc,internet,podcast,television,color,image,microphone,wire,connector,tube,voice,music,bands,speaker,vibrate,core,radio,satellite,air
25,32,SPANK,sex,vagina,child,discipline,pain,cover,bed,snuggle,pillow,hurt,maybe,mark,red,fiction,text,red,book,black,leg,foot
25,36,STOMACH,each,peach,sofa,cushion,yoke,dizzy,egg,splash,mess,soldier,pan,water,salt,oven,plan,oval,window,blind,relax,book
25,37,TEXTILE,fabric,soft,fluff,dust,oval,warm,jiffy,run,shoes,laces,wire,cover,coat,jacket,gloves,scarf,chair,comfort,log,cover
26,9,FARMYARD,farm,animal,tractor,fence,dirty,field,grass,dogs,pigs,cows,sheep,silo,grain,bayles,hay,combine harvester,rats,wellies,chickens,donkeys
26,10,FIG,tree,biscuit,fruit,tree,pudding,dessert,pudding,christmas,roll,sweet,fruit,grow,green,tree,,,,,,
26,12,FRAGMENT,piece,glass,small,sharp,shard,broken,piece,plastic,dream,shatter,item,debris,hard,sharp,reflect,triangle,element,item,shard,window
26,14,GROUNDHOG,day,film,bill murray,story,hog,pig,repetition,movie,again,day,again,repeat,funny,amusing,film,concept,,,,
26,22,MOSQUITO,bite,buzz,pest,insect,itch,allergy,hot,annoying,bug,fly,wings,sting,malaria,spain,night,citronella,bite cream,hurt,fly,sting
26,24,NAPKIN,paper,fabric,clean,crumbs,dinner,food,party,mouth,table,buffet,dinner,restaurant,cafe,eating,dining,knife,fork,spoon,plate,bowl
26,30,RHUBARB,crumble,custard,sugar,sweet,sweet,bitter,dessert,grow,cook,harvest,bake,boil,sugar,gin,sharp,baking,grandma,sunday lunch,dessert,pudding
26,35,SPREAD,butter,margarine,sandwich,buffet,share,jam,marmalade,marmite,chocolate,pate,sandwich,lunch,picnic,food,happy,share,dinner,lunch,packed school lunch,cheese
26,39,TOWER,high,tall,castle,scary,bt,royal,posh,block,flats,large,bricks,stone,london,execution,princess,eiffel,paris,pc tower,blackpool,twin
26,40,XYLOPHONE,instrument,music,play,school,orchestra,band,noisy,tune,play,learn,wooden,strike,noisy,loud,hit,school band,melancholic,assembly,school hall,music
27,1,ALPHABET,letters,street,phonetic,learn,twenty six,vowels,consanants,spell,child,school,painting,wall,keyboard,type,write,prince,sounds,shapes,left,right
27,3,CANNONBALL,weapon,missile,armed,castle,old fashioned,knight,metal,heavy,army,moat,fuse,dynamite,kill,ball,bang,explosion,smoke,noise,fire,distance
27,4,COUPON,voucher,ticket,discount,free,food,paper,cut,magazine,newspaper,collect,checkout,till,purse,money,produce,loyalty,saving,shopping,keep,spend
27,5,CUDDLE,hugs,affection,baby,pet,toy,teddy bear,doll,comfort,greeting,arms,uncomfortable,love,friendship,cat,dog,child,kiss,warmth,soft,awkward
27,8,ENAMEL,teeth,material,tissue,white,dentist,coating,paint,glossy,damage,yellow,rot,strength,bite,colors,decoration,,,,,
27,13,GEM,jewelry,ruby,sapphire,ring,earring,pendant,pearl,expensive,gift,jeweler,gold,silver,stone,bracelet,engagement,wedding,stud,color,red,blue
27,23,MOUNTAIN,hill,climb,explore,scenery,snow,landscape,countryside,ice,hike,lion,goat,clouds,summit,rescue,backpack,boots,cold,rope,map,flag
27,26,PASTA,food,dried,italian,lasagne,jar,shapes,boil,sauce,cheese,dinner,warm,full,tomato,fusili,spaghetti,pan,cook,vegetables,storage,packets
27,27,PEACOCK,bird,colors,feathers,neck,estates,mansions,green,walking,blue,wings,strong,aggressive,peck,beak,groups,lawns,space,wild,feed,
27,28,PUKE,vomit,sick,illness,drinking,hangover,travel,american,eating,food,child,man,alcohol,over indulgance,sweets,junk,ailment,bag,toilet,sink,plane
28,2,BATTLE,abbey,1066,hastings,fear,normans,saxons,market,tapestry,work,conflict,war,school ground,robertsbridge,arrows,memorabilia,home,train station,poppy,castles,anglo
28,11,FOLD,paper,inward,collapse,card game,turn,count,decline,lose,improve,alter,,,,,,,,,,
28,16,HEROIN,female,celebrate,savior,story,tale,drug,harm,fear,,,,,,,,,,,,
28,17,KIDNEY,cancer,taste,ofal,yuck,beans,organs,urine,infection,dialysis,illness,pain,alcohol,back pain,,,,,,,
28,20,MAGNIFY,improve,sight,elaborate,cooperate,investigate,glasses,age,deterioration,improvement,decline,laser treatment,instrument,,,,,,,,
28,21,MONASTERY,religion,spain,catholics,priests,nuns,quietness,candles,money,abuse,power,laws,abstinence,arts,stain glass,treasures,gold,burials,solemn,stillness,visitors
28,29,RADIO,music,bbc,virgin,documentary,humor,company,companionship,sing along,top 10,sunday nights,dave lee travis,chris evans,graham norton,,,,,,,
28,32,SPANK,bottom,anger,70s,forbidden,child,whollop,hurt,harm,fear,abuse,play,sex,redness,nerves,anxiety,teachers,cane,embarrass,slipper,ruler
28,36,STOMACH,pain,weight,food,operations,digestion,fluid,pain,loss,empty,full,water,yummy,cancer,biology,flat,wobbly,fat,mummy,pregnancy,yoga
28,37,TEXTILE,fabric,sewing,parents,tailors,seamstress,family business,loom,study,sanderson,laura ashley,habidashery,thread,weight,quality,cotton,velvet,upholstery,polyester,,
29,9,FARMYARD,farm,yard,farmer,grass,green,animals,plants,crops,harvest,corn,pig,cows,chicken,dog,herding,cultivate,eat,,,
29,10,FIG,fruit,raisin,grape,mediterranean,olives,hummus,tree,eat,food,plate,snack,vegetable,eating,meal,,,,,,
