"Id_Session"	"Device"	"Age"	"Gender"	"Raising"	"Education"	"Proficiency"	"First_Contact"	"Mother"	"Father"	"Exposure"	"Languages"
391	"PC"	34	"Home"	"Catalunya"	7	7	0	"Català"	"Castellà"	90	2
392	"MB"	25	"Home"	"Catalunya"	8	7	0	"Català"	"Català"	90	3
393	"MB"	44	"Dona"	"Catalunya"	7	7	0	"Català"	"Català"	100	5
394	"MB"	48	"Home"	"Catalunya"	7	7	0	"Català"	"Català"	100	3
396	"MB"	39	"Home"	"Catalunya"	5	7	0	"Català"	"Català"	100	3
400	"MB"	48	"Dona"	"Catalunya"	7	7	0	"Català"	"Català"	90	4
401	"MB"	32	"Home"	"Catalunya"	7	5	0	"Català"	"Castellà"	20	5
402	"MB"	38	"Home"	"Catalunya"	8	5	0	"Català"	"Català"	80	3
403	"PC"	29	"Home"	"Catalunya"	8	7	0	"Castellà"	"Català"	90	3
406	"MB"	56	"Dona"	"Catalunya"	7	7	0	"Català"	"Català"	100	2
407	"MB"	53	"Dona"	"Catalunya"	7	6	0	"Català"	"Català"	100	2
408	"MB"	44	"Dona"	"Catalunya"	7	7	0	"Català"	"Català"	100	5
409	"MB"	35	"Dona"	"Catalunya"	7	7	0	"Català"	"Català"	100	3
410	"MB"	24	"Dona"	"Catalunya"	7	7	0	"Català"	"Català"	100	5
411	"MB"	34	"Home"	"Catalunya"	4	4	0	"Castellà"	"Català"	90	2
413	"MB"	55	"Dona"	"Catalunya"	6	7	0	"Català"	"Català"	60	2
414	"MB"	39	"Dona"	"Catalunya"	7	5	0	"Català"	"Castellà"	80	3
415	"MB"	34	"Home"	"Catalunya"	4	4	0	"Català"	"Català"	100	2
416	"MB"	55	"Dona"	"Catalunya"	7	4	0	"Català"	"Català"	80	4
417	"MB"	61	"Home"	"Catalunya"	6	7	0	"Català"	"Català"	100	2
418	"MB"	53	"Home"	"Catalunya"	7	5	0	"Català"	"Català"	100	2
420	"MB"	62	"Dona"	"Catalunya"	6	5	1	"Català"	"Català"	90	3
421	"MB"	58	"Dona"	"Catalunya"	7	7	0	"Català"	"Castellà"	90	3
422	"MB"	25	"Dona"	"Catalunya"	8	7	0	"Català"	"Català"	100	4
423	"MB"	64	"Dona"	"Catalunya"	8	4	0	"Català"	"Català"	60	3
424	"PC"	32	"Home"	"Catalunya"	8	7	0	"Català"	"Català"	80	3
426	"MB"	61	"Home"	"Catalunya"	6	7	0	"Català"	"Català"	100	2
428	"MB"	39	"Dona"	"Catalunya"	7	5	0	"Català"	"Català"	70	2
430	"MB"	52	"Dona"	"Catalunya"	8	5	0	"Català"	"Català"	90	3
432	"MB"	53	"Dona"	"Catalunya"	6	7	0	"Català"	"Català"	100	2
435	"MB"	48	"Home"	"Catalunya"	7	5	0	"Català"	"Català"	100	3
437	"MB"	34	"Home"	"Catalunya"	8	7	0	"Català"	"Català"	70	3
438	"MB"	64	"Dona"	"Catalunya"	7	5	0	"Català"	"Català"	100	4
440	"MB"	53	"Dona"	"Catalunya"	6	7	0	"Català"	"Català"	100	2
441	"MB"	35	"Home"	"Catalunya"	8	5	0	"Castellà"	"Català"	90	2
442	"MB"	74	"Dona"	"Catalunya"	7	5	2	"Català"	"Català"	90	3
443	"PC"	56	"Dona"	"Catalunya"	7	5	0	"Català"	"Català"	100	4
444	"MB"	35	"Dona"	"Catalunya"	8	7	0	"Català"	"Català"	90	3
445	"PC"	30	"Home"	"Catalunya"	8	7	0	"Català"	"Català"	80	1
447	"MB"	53	"Home"	"Catalunya"	7	7	0	"Català"	"Català"	90	3
449	"MB"	32	"Home"	"Catalunya"	7	7	0	"Català"	"Català"	70	3
450	"PC"	32	"Home"	"Catalunya"	8	7	0	"Català"	"Català"	80	3
451	"MB"	24	"Home"	"Catalunya"	7	5	0	"Català"	"Català"	70	2
452	"PC"	39	"Home"	"Catalunya"	7	7	0	"Català"	"Català"	80	2
454	"MB"	65	"Dona"	"Catalunya"	7	7	0	"Gallec"	"Català"	70	2
458	"MB"	52	"Dona"	"Catalunya"	7	5	0	"Castellà"	"Català"	80	4
460	"MB"	34	"Dona"	"Catalunya"	8	5	0	"Català"	"Castellà"	70	4
463	"MB"	23	"Dona"	"Catalunya"	7	4	0	"Català"	"Català"	90	2
465	"MB"	43	"Dona"	"Catalunya"	6	7	0	"Català"	"Català"	90	3
466	"MB"	61	"Home"	"Catalunya"	7	6	0	"Català"	"Català"	100	3
467	"MB"	32	"Home"	"Catalunya"	7	7	0	"Català"	"Català"	70	3
468	"MB"	54	"Dona"	"Catalunya"	8	7	0	"Català"	"Català"	90	4
469	"PC"	33	"Home"	"Catalunya"	8	7	0	"Català"	"Castellà"	70	5
