Cit2;Cit1;ID;age;gender;hand;resp;RTs;accuracy
Bologna;Napoli;martina54;28;FALSE;SX;l;800,7;1
Bologna;Napoli;valentina48;21;FALSE;DX;l;875,4;1
Bologna;Napoli;chiara38;20;FALSE;DX;l;1651,2;1
Bologna;Napoli;vittoria67;23;FALSE;DX;l;1215;1
Bologna;Napoli;giulia23;22;FALSE;DX;l;780;1
Bologna;Napoli;elena56;22;FALSE;DX;l;594,5;1
Bologna;Napoli;Eleonora;28;FALSE;DX;l;1084,3;1
Bologna;Napoli;ilenia70;24;FALSE;DX;l;1864;1
Bologna;Napoli;cristina16;20;FALSE;DX;l;1084,9;1
Bologna;Napoli;lucrezia26;21;FALSE;DX;l;629,9;1
Bologna;Napoli;Laura66;20;FALSE;DX;l;793;1
Bologna;Napoli;elia6;20;M;DX;l;781,6;1
Bologna;Napoli;  iliaria37;21;FALSE;SX;a;1466,1;0
Bologna;Napoli;SD1999;23;FALSE;DX;l;2175,2;1
Bologna;Napoli;elide10;24;FALSE;DX;l;767,6;1
Bologna;Napoli;alissa59;20;FALSE;DX;l;2450;1
Bologna;Napoli;lucrezia32;22;FALSE;DX ;l;1513;1
Bologna;Napoli;samuele42;21;M;SX;l;1331,8;1
Bologna;Napoli;martina3;21;FALSE;DX;l;951,6;1
Bologna;Napoli; irene1;24;FALSE;DX;l;906;1
Bologna;Napoli;valentina45;21;FALSE;DX;l;880,1;1
Bologna;Napoli;Sonia;26;FALSE;DX;l;1061,6;1
Bologna;Napoli;denise33;21;FALSE;DX;l;735,6;1
Bologna;Napoli;andrea40;20;M;DX;a;1212,2;0
Bologna;Perugia;lorenzo64;20;M;DX;l;1844;1
Bologna;Perugia;giulia28;25;FALSE;dx;l;840;1
Bologna;Perugia;denise33;21;FALSE;DX;l;834,2;1
Bologna;Perugia;elena56;22;FALSE;DX;l;900,4;1
Bologna;Perugia;giulia23;22;FALSE;DX;l;1242;1
Bologna;Perugia;andrea40;20;M;DX;a;1113,5;0
Bologna;Perugia;federica17;22;FALSE;DX;l;955,6;1
Bologna;Perugia;vittoria67;23;FALSE;DX;l;1234,1;1
Bologna;Perugia;elia6;20;M;DX;l;931,3;1
Bologna;Perugia;samuele42;21;M;SX;l;2761,9;1
Bologna;Perugia;Eleonora;28;FALSE;DX;l;1393,3;1
Bologna;Perugia;serena;25;FALSE;DX;l;1230,9;1
Bologna;Perugia;arianna18;21;FALSE;DX;l;1069,8;1
Bologna;Perugia;CS;27;FALSE;DX;l;1615,9;1
Bologna;Perugia;sean27;27;M;DX;l;1046;1
Bologna;Perugia;ilaria51;24;FALSE;DX;l;1008,2;1
Bologna;Perugia;susanna2;21;FALSE;DX;l;816,6;1
Bologna;Perugia;Laura66;20;FALSE;DX;l;1092;1
Bologna;Perugia;laura9;26;FALSE;DX;l;949,5;1
Bologna;Perugia;chiara38;20;FALSE;DX;l;1453;1
Bologna;Perugia;manfredi25;22;M;DX;l;1057,8;1
Bologna;Perugia;SD1999;23;FALSE;DX;l;1743,6;1
Bologna;Perugia;martina3;21;FALSE;DX;l;1001,5;1
Bologna;Perugia;nicola19;23;M;DX;l;1293,2;1
Bologna;Perugia;gaia4;19;FALSE;DX;l;1261,2;1
Bologna;Perugia;valentina48;21;FALSE;DX;l;1062,7;1
Bologna;Perugia;eleonora13;20;FALSE;DX;l;960,5;1
Bologna;Perugia;martina54;28;FALSE;SX;l;839;1
Bologna;Perugia;  iliaria37;21;FALSE;SX;l;936,1;1
Bologna;Perugia;SF2002;20;FALSE;SX;l;1644;1
Bologna;Perugia;edoardo52;23;M;DX;l;1297;1
Bologna;Perugia;valentina45;21;FALSE;DX;l;865,5;1
Bologna;Perugia;alex35;28;M;DX;l;1232,7;1
Bologna;Perugia;emanuela36;20;FALSE;DX;a;1777;0
Bologna;Perugia;lucrezia32;22;FALSE;DX ;l;1323;1
Bologna;Perugia;alissa59;20;FALSE;DX;l;2200;1
Bologna;Perugia;riccardo72;22;M;DX;l;1603,9;1
Bologna;Perugia; irene1;24;FALSE;DX;a;1355;0
Bologna;Perugia;CAL1999;23;FALSE;DX;l;1029,4;1
Bologna;Perugia;lucrezia26;21;FALSE;DX;l;1027,9;1
Bologna;Perugia;iacopo50;21;M;DX;l;1336,9;1
Bologna;Perugia;cristina16;20;FALSE;DX;l;2238,9;1
Bologna;Perugia;GiorgioLazzari;24;M;DX;l;1727,9;1
Bologna;Perugia;samuele47;24;M;DX;l;1734,5;1
Bologna;Perugia;gf2002;20;f;dx;l;2537,6;1
Bologna;Perugia;gaia60;20;FALSE;DX;a;1666,6;0
Bologna;Perugia;SB2001;21;FALSE;DX;l;1062;1
Bologna;Perugia;LF1998;24;FALSE;DX;a;1257;0
Bologna;Perugia;alessia69;26;FALSE;DX;a;2315,4;0
Bologna;Perugia;ilenia70;24;FALSE;DX;l;995;1
Bologna;Perugia;giorgia55;22;FALSE;DX;l;895,9;1
Bologna;Perugia;elide10;24;FALSE;DX;l;1035,5;1
Bologna;Perugia;sara71;21;FALSE;DX;l;1699,2;1
Bologna;Perugia;andra12;23;FALSE;DX;l;1092,715;1
Bologna;Perugia;martina49;22;FALSE;DX;a;896,9;0
Bologna;Perugia;Sonia;26;FALSE;DX;l;2601,7;1
Bologna;Perugia;francesco68;27;M;SX;l;996,8;1
Bologna;Pescara;CAL1999;23;FALSE;DX;l;1342,6;1
Bologna;Pescara;vittoria67;23;FALSE;DX;l;1743,4;1
Bologna;Pescara;lorenzo64;20;M;DX;l;1027;1
Bologna;Pescara; irene1;24;FALSE;DX;l;1274;1
Bologna;Pescara;iacopo50;21;M;DX;l;2167,2;1
Bologna;Pescara;SB2001;21;FALSE;DX;l;996;1
Bologna;Pescara;SD1999;23;FALSE;DX;l;1698,3;1
Bologna;Pescara;lucrezia32;22;FALSE;DX ;l;1384;1
Bologna;Pescara;alissa59;20;FALSE;DX;l;1092;1
Bologna;Pescara;valentina45;21;FALSE;DX;l;966,9;1
Bologna;Pescara;lucrezia26;21;FALSE;DX;l;938,5;1
Bologna;Pescara;  iliaria37;21;FALSE;SX;l;1057,8;1
Bologna;Pescara;ilenia70;24;FALSE;DX;l;2110;1
Bologna;Pescara;alex35;28;M;DX;l;976,3;1
