"Trial.order","Subject","Subject.number","Trial.name","correct","response","RT","leksikalnost","FWD_BCW","LF_HF","CONC_ABS","izvorna_rec","trial.number","rec","task"
92,"s1.dat",1,"t195",1,"3",1071,"pseudorec","forw","HF","abst",NA,195,"TOTEK","VLD"
93,"s1.dat",1,"t12",0,"3",NA,"rec","backw","HF","abst","nemir",12,"RIMEN","ALD"
93,"s1.dat",1,"t12",0,"3",NA,"rec","backw","HF","abst","pomoć",12,"ĆOMOP","VLD"
94,"s1.dat",1,"t91",1,"1",741,"rec","forw","LF","abst","ucena",91,"UCENA","ALD"
94,"s1.dat",1,"t91",1,"1",741,"rec","forw","LF","abst","naboj",91,"NABOJ","VLD"
95,"s1.dat",1,"t19",0,"None",NA,"rec","backw","HF","conc","sekira",19,"ARIKES","ALD"
95,"s1.dat",1,"t19",0,"None",NA,"rec","backw","HF","conc","rakija",19,"AJIKAR","VLD"
97,"s1.dat",1,"t64",1,"1",641,"rec","forw","HF","abst","pretnja",64,"PRETNJA","ALD"
97,"s1.dat",1,"t64",1,"1",641,"rec","forw","HF","abst","milost",64,"MILOST","VLD"
98,"s1.dat",1,"t209",0,"None",NA,"pseudorec","forw","HF","conc",NA,209,"ARGOP","ALD"
98,"s1.dat",1,"t209",0,"None",NA,"pseudorec","forw","HF","conc",NA,209,"HARAK","VLD"
100,"s1.dat",1,"t65",1,"1",551,"rec","forw","HF","abst","savest",65,"SAVEST","ALD"
100,"s1.dat",1,"t65",1,"1",551,"rec","forw","HF","abst","ideja",65,"IDEJA","VLD"
101,"s1.dat",1,"t30",1,"1",1072,"rec","backw","HF","conc","glava",30,"AVALG","ALD"
101,"s1.dat",1,"t30",1,"1",1072,"rec","backw","HF","conc","trava",30,"AVART","VLD"
102,"s1.dat",1,"t117",1,"1",681,"rec","forw","LF","conc","kvaka",117,"KVAKA","ALD"
102,"s1.dat",1,"t117",1,"1",681,"rec","forw","LF","conc","šerpa",117,"ŠERPA","VLD"
103,"s1.dat",1,"t211",0,"None",NA,"pseudorec","forw","LF","abst",NA,211,"KEPEN","ALD"
103,"s1.dat",1,"t211",0,"None",NA,"pseudorec","forw","LF","abst",NA,211,"FLUOŠ","VLD"
105,"s1.dat",1,"t122",1,"3",1192,"pseudorec","backw","HF","abst",NA,122,"PREGIT","ALD"
105,"s1.dat",1,"t122",1,"3",1192,"pseudorec","backw","HF","abst",NA,122,"FETUP","VLD"
106,"s1.dat",1,"t170",0,"None",NA,"pseudorec","backw","LF","conc",NA,170,"PORTIN","ALD"
106,"s1.dat",1,"t170",0,"None",NA,"pseudorec","backw","LF","conc",NA,170,"ŠESTAM","VLD"
108,"s1.dat",1,"t28",1,"1",902,"rec","backw","HF","conc","livada",28,"ADAVIL","ALD"
108,"s1.dat",1,"t28",1,"1",902,"rec","backw","HF","conc","slika",28,"AKILS","VLD"
109,"s1.dat",1,"t188",0,"None",NA,"pseudorec","forw","HF","abst",NA,188,"TENOZ","ALD"
109,"s1.dat",1,"t188",0,"None",NA,"pseudorec","forw","HF","abst",NA,188,"KOKTEZ","VLD"
111,"s1.dat",1,"t88",1,"1",521,"rec","forw","HF","conc","zgrada",88,"ZGRADA","ALD"
111,"s1.dat",1,"t88",1,"1",521,"rec","forw","HF","conc","knjiga",88,"KNJIGA","VLD"
112,"s1.dat",1,"t229",1,"3",941,"pseudorec","forw","LF","conc",NA,229,"REBUL","ALD"
112,"s1.dat",1,"t229",1,"3",941,"pseudorec","forw","LF","conc",NA,229,"NABOH","VLD"
