id	gender	childhood_location	current_location	native_language	education	age
404	female	pa	pa	english	masters_degree	67
405	female	maine	ct	english	high_school_graduate	66
406	female	kentucky	indiana	english	bachelors_degree	73
407	male	london	leicestershire	english	masters_degree	65
408	male	unitedkingdom	unitedkingdom	english	associates_degree	68
409	male	yorkshire	yorkshire	english	bachelors_degree	69
410	male	lancashire	lancashire	english	some_college_no_degree	71
411	male	lancashire	greatermanchester	english	some_high_school	79
412	male	scotland	scotland	english	high_school_graduate	67
413	female	warwickshire	eastlindsey	english	bachelors_degree	65
414	female	lancashire	yorkshire	english	bachelors_degree	72
415	female	worcestershire	worcestershire	english	high_school_graduate	66
416	male	lancashire	shropshire	english	high_school_graduate	74
417	female	northeastlincs	hertfordshire	english	high_school_graduate	65
418	male	surrey	hampshire	english	associates_degree	65
419	male	lancashire	cumbria	english	high_school_graduate	73
420	female	somerset	bedfordshire	english	some_college_no_degree	71
421	female	cheshire	cheshire	english	high_school_graduate	65
422	male	londonuk	brightonuk	english	some_high_school	76
423	female	westyorkshire	westyorkshire	english	some_college_no_degree	74
424	female	scotland	scotland	english	associates_degree	69
425	male	scotland	scotland	english	bachelors_degree	66
426	female	northampton	london	english	doctorate	65
427	female	uk	uk	english	high_school_graduate	72
428	female	sussex	isleofwight	english	high_school_graduate	68
429	female	oxfordshire	oxfordshire	english	bachelors_degree	80
430	male	uk	uk	english	some_college_no_degree	69
431	male	london	yorkshire	english	high_school_graduate	65
432	female	ilivedintheuk	uk	english	masters_degree	71
433	female	washington	washington	english	some_college_no_degree	65
434	male	northdakota	minnesota	english	bachelors_degree	71
435	female	california	idaho	english	some_college_no_degree	71
436	male	arizona	nevada	english	some_college_no_degree	66
437	male	wi	fl	english	masters_degree	69
438	male	ohio	ohio	english	bachelors_degree	67
439	male	ohio	ohio	english	some_college_no_degree	70
440	female	num_9num_dividohio	ohio	english	associates_degree	72
441	female	pa	pa	english	high_school_graduate	67
442	male	wisconsin	wisconsin	english	high_school_graduate	66
443	female	texas	texas	english	masters_degree	68
444	male	nc	il	english	masters_degree	67
445	male	newyork	florida	english	high_school_graduate	68
