id	gender	childhood_location	current_location	native_language	education	age
1232	male	ohio	pennsylvania	english	some_college_no_degree	39
1233	male	philadelphia	massachusetts	english	masters_degree	33
1234	male	nl	nl	english	some_college_no_degree	28
1235	male	florida	newyork	english	masters_degree	34
1236	female	texas	texas	english	bachelors_degree	33
1237	female	newyork	newyork	spanish	high_school_graduate	20
1238	female	illinois	illinois	english	bachelors_degree	27
1239	male	arizona	arizona	english	high_school_graduate	25
1240	female	nc	ca	english	masters_degree	42
1241	female	ca	ca	english	bachelors_degree	35
1242	female	ca	ca	english	associates_degree	49
1243	male	ca	ca	english	bachelors_degree	43
1244	female	ca	ca	english	masters_degree	40
1245	male	oregon	oregon	english	masters_degree	32
1246	female	bc	bc	english	bachelors_degree	27
1247	female	nj	az	english	bachelors_degree	49
1248	female	florida	california	english	bachelors_degree	36
1249	female	california	california	english	some_college_no_degree	29
1250	male	california	california	english	bachelors_degree	25
1251	female	ca	ca	english	high_school_graduate	32
1252	female	hawaii	hawaii	english	bachelors_degree	36
1253	male	utah	utah	english	bachelors_degree	30
1254	male	wy	wy	english	some_college_no_degree	20
1255	female	florida	newmexico	english	associates_degree	37
1256	male	utah	utah	english	bachelors_degree	44
1257	male	ab	ab	english	bachelors_degree	26
1258	female	nebraska	missouri	english	associates_degree	43
1259	female	texas	texas	english	some_college_no_degree	19
1260	male	wisconsin	wisconsin	english	bachelors_degree	38
1261	female	ks	texas	english	some_college_no_degree	43
1262	male	ohio	minnesota	english	masters_degree	29
1263	male	arkansas	arkansas	english	bachelors_degree	44
1264	female	kentucky	kentucky	english	bachelors_degree	37
1265	female	kansas	kansas	english	bachelors_degree	33
1266	male	il	il	english	bachelors_degree	32
1267	male	tx	tx	english	bachelors_degree	26
1268	female	minnesota	minnesota	english	bachelors_degree	22
1269	female	tn	tn	english	bachelors_degree	36
1270	male	oklahoma	oklahoma	english	high_school_graduate	39
1271	male	la	la	english	bachelors_degree	53
1272	female	illinois	texas	english	some_college_no_degree	29
