"list","participant_id","trial_id","stimulus","trial_order","lexicality","response","accuracy","rt"
"PRIDEVI_B","subject-82.csv",193,"BLUGAVOJ",185,"pseudorec","3",1,929
"PRIDEVI_B","subject-82.csv",178,"CUSNOJ",186,"pseudorec","3",1,759
"PRIDEVI_B","subject-82.csv",142,"SUVANOM",187,"pseudorec","3",1,744
"PRIDEVI_B","subject-82.csv",154,"GLOMNOM",188,"pseudorec","3",1,571
"PRIDEVI_B","subject-82.csv",59,"OZBILJNOG",189,"rec","1",1,757
"PRIDEVI_B","subject-82.csv",49,"NEVIDLJIVOJ",190,"rec","1",1,812
"PRIDEVI_B","subject-82.csv",77,"ŠIROKOG",191,"rec","1",1,870
"PRIDEVI_B","subject-82.csv",41,"MRAČNOG",192,"rec","1",1,586
"PRIDEVI_B","subject-82.csv",143,"RIZANOM",193,"pseudorec","3",1,707
"PRIDEVI_B","subject-82.csv",99,"VLAŽNOM",194,"rec","1",1,929
"PRIDEVI_B","subject-82.csv",66,"PRIRODNOM",195,"rec","1",1,682
"PRIDEVI_B","subject-82.csv",112,"NOLENOG",196,"pseudorec","3",1,671
"PRIDEVI_B","subject-82.csv",60,"PLEMENITOM",197,"rec","1",1,1037
"PRIDEVI_B","subject-82.csv",76,"SEVERNOJ",198,"rec","1",1,639
"PRIDEVI_B","subject-82.csv",22,"GRADSKOJ",199,"rec","1",1,945
"PRIDEVI_B","subject-82.csv",55,"OBIČNOJ",200,"rec","1",1,510
"PRIDEVI_B","subject-82.csv",47,"NEMIRNOG",201,"rec","1",1,603
"PRIDEVI_B","subject-82.csv",132,"PUMNOG",202,"pseudorec","3",1,709
"PRIDEVI_B","subject-82.csv",175,"HURNOM",203,"pseudorec","3",1,775
"PRIDEVI_B","subject-82.csv",180,"SAŽNOJ",204,"pseudorec","3",1,1088
"PRIDEVI_B","subject-82.csv",155,"ČILKOM",205,"pseudorec","3",1,944
"PRIDEVI_B","subject-82.csv",173,"LJITKOM",206,"pseudorec","3",1,821
"PRIDEVI_B","subject-82.csv",212,"BLETANOJ",207,"pseudorec","3",1,1169
"PRIDEVI_B","subject-82.csv",207,"ZEGENOJ",208,"pseudorec","3",1,801
"PRIDEVI_B","subject-82.csv",182,"HAČNOJ",209,"pseudorec","3",1,740
"PRIDEVI_B","subject-82.csv",9,"ČUDNOM",210,"rec","3",0,616
"PRIDEVI_B","subject-82.csv",56,"ODLIČNOG",211,"rec","1",1,708
"PRIDEVI_B","subject-82.csv",19,"GLAVNOJ",212,"rec","1",1,544
"PRIDEVI_B","subject-82.csv",27,"KONKRETNOM",213,"rec","1",1,974
"PRIDEVI_B","subject-82.csv",123,"TEZIVOG",214,"pseudorec","3",1,873
"PRIDEVI_B","subject-82.csv",202,"BLANOJ",215,"pseudorec","3",1,849
"PRIDEVI_B","subject-82.csv",13,"DESNOJ",216,"rec","1",1,634
"PRIDEVI_B","subject-82.csv",40,"MORSKOJ",217,"rec","1",1,881
"PRIDEVI_B","subject-82.csv",50,"NEVINOG",218,"rec","1",1,837
"PRIDEVI_B","subject-82.csv",205,"VOLENOJ",219,"pseudorec","1",0,975
"PRIDEVI_B","subject-82.csv",57,"OGROMNOM",220,"rec","1",1,851
"PRIDEVI_B","subject-82.csv",53,"NISKOG",221,"rec","1",1,685
"PRIDEVI_B","subject-82.csv",166,"PITOROM",222,"pseudorec","3",1,1009
"PRIDEVI_B","subject-82.csv",38,"MIRISNOG",223,"rec","1",1,815
"PRIDEVI_B","subject-82.csv",16,"DUBOKOJ",224,"rec","1",1,763
"PRIDEVI_B","subject-82.csv",36,"MASOVNOM",225,"rec","1",1,897
"PRIDEVI_B","subject-82.csv",106,"ZNAČAJNOJ",226,"rec","1",1,566
