spelling	coltheart.N	OLD20	celex.frequency	celex.cd	celex.frequency.lemma	subtlex.frequency	subtlex.cd	subtlex.frequency.lemma	subtlex.frequency.million	subtlex.log10.frequency	subtlex.cd.percentage	subtlex.log10.cd	subtlex.dominant.pos	subtlex.dominant.pos.frequency	subtlex.dominant.pos.lemma	subtlex.dominant.pos.lemma.frequency	subtlex.all.pos	subtlex.all.pos.frequency	subtlex.all.pos.lemma.frequency	summed.monogram	summed.bigram	summed.trigram	stress	nchar	nsyl	celex.morphology	celex.flection	celex.synclass
vergiet	5	1.7	24	21	128	38	34	38	0.869	1.5911	0.4213	1.5441	N	38	vergiet	38	.N.	.38.	.38.	3419701	276668	42593	1	7	2	complex.undetermined	singular.singular 1p present.singular 2p present.singular 2p present inversed.singular 3p present	Noun.Verb
vergif	2	1.85	251	115	251	451	295	454	10.3134	2.6551	3.6555	2.4713	N	346	vergif	349	.N.ADJ.	.346.105.	.349.105.	2627542	196871	37428	1	6	2	undetermined	singular	Noun
verging	4	1.7	137	103	838	46	46	614	1.0519	1.6721	0.57	1.6721	WW	46	vergaan	614	.WW.	.46.	.614.	2990512	274814	66438	1	7	2	complex	singular past	Verb
vergis	5	1.65	236	133	1304	358	338	1660	8.1867	2.5551	4.1884	2.5302	WW	358	vergissen	1660	.WW.	.358.	.1660.	2785111	242642	39315	1	6	2	undetermined	singular 1p present.singular 2p present inversed	Verb
vergist	6	1.55	633	261	1320	1044	848	1664	23.8741	3.0191	10.5081	2.9289	WW	1040	vergissen	1660	.WW.N.	.1040.4.	.1660.4.	3015684	300342	51871	1	7	2	complex.undetermined	participle past.singular 1p present.singular 2p present.singular 2p present inversed.singular 3p present	Verb
vergoed	5	1.65	132	64	265	63	55	187	1.4407	1.8062	0.6815	1.7482	WW	62	vergoeden	186	.WW.N.	.62.1.	.186.1.	3328998	255325	41523	1	7	2	complex	participle past.singular 1p present.singular 2p present inversed	Verb
vergoerd	5	1.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3594667	384927	58006	NA	NA	NA	NA	NA	NA
vergond	10	1.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3006086	295138	58818	NA	NA	NA	NA	NA	NA
vergoold	4	1.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3085454	266190	41743	NA	NA	NA	NA	NA	NA
vergracht	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3222012	314756	67107	NA	NA	NA	NA	NA	NA
vergraft	1	1.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3128728	266606	42472	NA	NA	NA	NA	NA	NA
vergreed	4	1.75	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3996585	316747	43517	NA	NA	NA	NA	NA	NA
vergreept	0	2.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4150871	320292	44591	NA	NA	NA	NA	NA	NA
vergrend	1	1.85	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3673673	459835	97212	NA	NA	NA	NA	NA	NA
vergrief	1	2.05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3499037	266300	44318	NA	NA	NA	NA	NA	NA
vergrijn	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3173918	327848	49299	NA	NA	NA	NA	NA	NA
vergrijp	1	2	72	53	211	80	68	148	1.8294	1.9085	0.8426	1.8388	N	78	vergrijp	117	.N.WW.ADJ.	.78.1.1.	.117.30.1.	2976508	253277	46602	1	8	2	complex.undetermined	singular.singular 1p present.singular 2p present inversed	Noun.Verb
vergroefd	2	1.85	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3638907	276203	45976	NA	NA	NA	NA	NA	NA
vergroeid	2	1.7	87	65	125	16	15	22	0.3659	1.2304	0.1859	1.2041	WW	16	vergroeien	22	.WW.	.16.	.22.	3820496	294443	56431	1	9	2	complex	participle past	Verb
vergroog	3	1.85	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3155254	262457	45234	NA	NA	NA	NA	NA	NA
vergrooid	2	1.85	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3418578	283429	48430	NA	NA	NA	NA	NA	NA
vergroont	1	2.05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3544445	324982	51115	NA	NA	NA	NA	NA	NA
vergroot	2	1.75	665	279	1601	160	139	369	3.6589	2.2068	1.7224	2.1461	WW	126	vergroten	317	.WW.N.VZ.SPEC.	.126.22.7.5.	.317.40.7.5.	3261531	283579	45296	1	8	2	complex	participle past.singular 1p present.singular 2p present.singular 2p present inversed.singular 3p present	Verb
vergrord	0	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3254510	290870	46497	NA	NA	NA	NA	NA	NA
vergt	6	1.6	454	167	1068	155	141	232	3.5445	2.1931	1.7472	2.1523	WW	155	vergen	232	.WW.	.155.	.232.	2588046	219925	37420	1	5	1	monomorphemic	singular 2p present.singular 3p present	Verb
verguld	7	1.55	96	68	297	14	13	19	0.3202	1.1761	0.1611	1.1461	WW	9	vergulden	13	.WW.ADJ.	.9.5.	.13.6.	2759987	229671	39820	1	7	2	complex.lexicalised	participle past.positive.singular 1p present.singular 2p present inversed	Adjective.Verb
vergund	4	1.7	68	45	92	5	5	6	0.1143	0.7782	0.062	0.7782	WW	5	vergunnen	6	.WW.	.5.	.6.	2884527	267501	52328	1	7	2	complex	participle past	Verb
vergut	3	1.75	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2670395	224191	37412	NA	NA	NA	NA	NA	NA
verhaal	6	1.55	6807	540	10562	8876	3796	11263	202.9755	3.9483	47.0384	3.5794	N	8860	verhaal	11213	.N.SPEC.WW.ADJ.	.8860.7.5.4.	.11213.7.39.4.	2924276	255380	43855	1	7	2	complex.undetermined	singular.singular 1p present.singular 2p present inversed	Noun.Verb
verhaald	5	1.65	105	54	455	8	4	39	0.1829	0.9542	0.0496	0.699	WW	8	verhalen	39	.WW.	.8.	.39.	3086067	286993	45060	1	8	2	complex	participle past	Verb
verhaals	2	1.85	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3126085	285954	45636	NA	NA	NA	NA	NA	NA
verhaalt	7	1.55	102	53	455	22	18	39	0.5031	1.3617	0.223	1.2788	WW	22	verhalen	39	.WW.	.22.	.39.	3154849	286203	44365	1	8	2	complex	singular 2p present.singular 3p present	Verb
verhacht	5	1.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2903226	292165	61533	NA	NA	NA	NA	NA	NA
verheedt	2	1.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3908372	284678	39898	NA	NA	NA	NA	NA	NA
verheerd	6	1.65	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3943468	407673	72160	NA	NA	NA	NA	NA	NA
verheft	1	1.9	156	85	1143	31	27	272	0.7089	1.5051	0.3346	1.4472	WW	30	verheffen	255	.WW.N.	.30.1.	.255.17.	3184995	241433	37851	1	7	2	complex	singular 2p present.singular 3p present	Verb
verhel	7	1.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3068556	258970	43245	NA	NA	NA	NA	NA	NA
verheugd	1	1.85	332	169	972	171	147	652	3.9104	2.2355	1.8216	2.1703	WW	134	verheugen	613	.WW.ADJ.	.134.37.	.613.39.	3278618	242177	38434	1	8	2	lexicalised.undetermined	participle past.positive	Adjective.Verb
verhief	1	1.9	288	136	1143	12	12	255	0.2744	1.1139	0.1487	1.1139	WW	12	verheffen	255	.WW.	.12.	.255.	3180251	232238	39146	1	7	2	complex	singular past	Verb
verhind	4	1.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2974890	306421	54102	NA	NA	NA	NA	NA	NA
verhit	3	1.75	319	109	536	51	50	83	1.1663	1.716	0.6196	1.7076	WW	43	verhitten	62	.WW.ADJ.	.43.8.	.62.21.	2760758	238705	39423	1	6	2	complex.lexicalised	participle past.positive.singular 1p present.singular 2p present.singular 2p present inversed.singular 3p present	Adjective.Verb
verhoept	3	1.85	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3430167	264887	41070	NA	NA	NA	NA	NA	NA
verhoogd	3	1.75	428	189	1687	132	119	673	3.0186	2.1239	1.4746	2.0792	WW	132	verhogen	673	.WW.	.132.	.673.	2998259	258632	42267	1	8	2	complex.lexicalised	participle past.positive	Adjective.Verb
verhoogt	3	1.8	210	112	1256	91	87	673	2.081	1.9638	1.0781	1.9445	WW	91	verhogen	673	.WW.	.91.	.673.	3067041	262673	42320	1	8	2	complex	singular 2p present.singular 3p present	Verb
verhool	6	1.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2870546	240594	41355	NA	NA	NA	NA	NA	NA
verhoor	4	1.6	368	119	755	333	269	751	7.615	2.5237	3.3333	2.4314	N	326	verhoor	426	.N.WW.ADJ.	.326.6.1.	.426.324.1.	2977841	269478	51371	1	7	2	complex.undetermined	singular.singular 1p present.singular 2p present inversed	Noun.Verb
verhoord	6	1.5	153	87	237	180	165	326	4.1162	2.2577	2.0446	2.2201	WW	179	verhoren	324	.WW.N.	.179.1.	.324.2.	3139632	296455	56311	1	8	2	complex	participle past	Verb
verhuild	5	1.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2932699	256182	42223	NA	NA	NA	NA	NA	NA
verhuisd	2	1.8	213	137	862	581	495	2402	13.2862	2.7649	6.1338	2.6955	WW	581	verhuizen	2402	.WW.	.581.	.2402.	2976134	259234	40868	1	8	2	undetermined	participle past	Verb
verhuit	4	1.65	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2843107	260354	51465	NA	NA	NA	NA	NA	NA
verhuld	4	1.7	56	53	261	14	13	131	0.3202	1.1761	0.1611	1.1461	WW	11	verhullen	124	.WW.N.	.11.3.	.124.7.	2706870	230240	39056	1	7	2	complex	participle past	Verb
verhuurd	4	1.7	110	74	295	72	68	267	1.6465	1.8633	0.8426	1.8388	WW	72	verhuren	267	.WW.	.72.	.267.	2896514	250166	43345	1	8	2	complex	participle past	Verb
verjaagd	7	1.5	149	87	499	112	99	290	2.5612	2.0531	1.2268	2	WW	112	verjagen	290	.WW.	.112.	.290.	3022843	258751	37535	1	8	2	complex	participle past	Verb
verjoeg	2	1.85	54	40	499	23	22	311	0.526	1.3802	0.2726	1.3617	WW	14	verjagen	290	.WW.N.BW.SPEC.	.14.7.1.1.	.290.19.1.1.	3209240	233219	37079	1	7	2	complex	singular past	Verb
verkaad	4	1.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2958463	267957	43013	NA	NA	NA	NA	NA	NA
verkaagd	6	1.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3082759	271884	43866	NA	NA	NA	NA	NA	NA
verkeemt	2	1.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3853470	294957	43593	NA	NA	NA	NA	NA	NA
verkeer	5	1.6	1619	405	4682	668	527	962	15.2758	2.8254	6.5304	2.7226	N	646	verkeer	646	.N.SPEC.WW.	.646.12.10.	.646.12.304.	3812447	395379	77635	1	7	2	complex.monomorphemic	singular.singular 1p present.singular 2p present inversed	Noun.Verb
verkeerd	5	1.6	2286	497	5976	5051	3250	9522	115.5058	3.7035	40.2726	3.512	ADJ	5048	verkeerd	9518	.ADJ.WW.BW.SPEC.	.5048.1.1.1.	.9518.1.1.2.	3974238	422356	76161	1	8	2	complex.undetermined	participle past.positive	Adjective.Verb
verkeert	5	1.65	526	256	3063	166	159	304	3.7961	2.2227	1.9703	2.2041	WW	166	verkeren	304	.WW.	.166.	.304.	4043020	419412	68457	1	8	2	complex	singular 2p present.singular 3p present	Verb
verkeid	6	1.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3328572	268821	52068	NA	NA	NA	NA	NA	NA
verkend	12	1.2	99	74	615	36	35	372	0.8232	1.5682	0.4337	1.5563	WW	36	verkennen	372	.WW.	.36.	.372.	3385657	435842	96358	1	7	2	undetermined	participle past	Verb
verkied	6	1.65	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3328572	269353	42573	NA	NA	NA	NA	NA	NA
verkiest	3	1.75	110	81	656	109	102	522	2.4926	2.0414	1.2639	2.0128	WW	109	verkiezen	522	.WW.	.109.	.522.	3599163	342690	59435	1	8	2	complex	singular 2p present.singular 3p present	Verb
verkilmd	1	2.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2957239	231317	40633	NA	NA	NA	NA	NA	NA
verklaar	0	1.9	120	80	5186	565	503	2877	12.9204	2.7528	6.233	2.7024	WW	565	verklaren	2877	.WW.	.565.	.2877.	3220715	299955	57175	1	8	2	complex	singular 1p present.singular 2p present inversed	Verb
verklaard	1	1.85	1564	437	6817	438	374	2881	10.0161	2.6425	4.6344	2.574	WW	434	verklaren	2877	.WW.SPEC.N.	.434.2.2.	.2877.2.2.	3382506	326932	63758	1	9	2	complex.lexicalised	participle past.positive	Adjective.Verb
verklaart	1	1.9	882	299	5186	730	605	2877	16.6936	2.8639	7.4969	2.7825	WW	730	verklaren	2877	.WW.	.730.	.2877.	3451288	323988	63275	1	9	2	complex	singular 2p present.singular 3p present	Verb
verklaat	4	1.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3185619	303614	50972	NA	NA	NA	NA	NA	NA
verklaf	2	1.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2768513	233621	45824	NA	NA	NA	NA	NA	NA
verklam	2	1.85	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2800392	228274	43735	NA	NA	NA	NA	NA	NA
verkleef	2	1.85	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3749392	270843	48224	NA	NA	NA	NA	NA	NA
verkleeft	2	1.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3979965	302518	48555	NA	NA	NA	NA	NA	NA
verkleind	1	1.9	105	82	337	24	21	105	0.5488	1.3979	0.2602	1.3424	WW	24	verkleinen	105	.WW.	.24.	.105.	3769860	360054	63613	1	9	2	complex	participle past	Verb
verklend	1	1.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3544031	446470	95935	NA	NA	NA	NA	NA	NA
verknocht	1	2.15	43	33	59	24	23	26	0.5488	1.3979	0.285	1.3802	ADJ	24	verknocht	26	.ADJ.	.24.	.26.	3190045	285812	58892	1	9	2	undetermined	positive	Adjective
verknoeid	1	1.95	100	70	288	115	99	362	2.6298	2.0645	1.2268	2	WW	115	verknoeien	362	.WW.	.115.	.362.	3815394	274181	53636	1	9	2	complex	participle past	Verb
verknoetst	0	2.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4090729	338040	56688	NA	NA	NA	NA	NA	NA
verkocht	2	1.8	2098	404	4326	2475	1629	8710	56.598	3.3938	20.1859	3.2122	WW	2462	verkopen	8697	.WW.SPEC.BW.N.	.2462.11.1.1.	.8697.11.1.1.	2907131	285805	58596	1	8	2	complex	participle past.singular past	Verb
verkoold	5	1.65	49	34	165	28	27	56	0.6403	1.4624	0.3346	1.4472	WW	28	verkolen	56	.WW.	.28.	.56.	3063107	273198	45463	1	8	2	complex	participle past	Verb
verkoop	9	1.45	874	246	5205	1660	1133	9388	37.9607	3.2204	14.0397	3.0546	WW	982	verkopen	8697	.WW.N.SPEC.	.982.677.1.	.8697.690.1.	2828446	240219	45409	10	7	2	complex.undetermined	singular.singular 1p present.singular 2p present inversed	Noun.Verb
verkoopt	6	1.6	336	156	4326	1138	884	8697	26.0237	3.0565	10.9542	2.9469	WW	1138	verkopen	8697	.WW.	.1138.	.8697.	3059019	274390	45124	1	8	2	complex	singular 2p present.singular 3p present	Verb
verkoos	5	1.75	146	97	656	59	56	525	1.3492	1.7782	0.6939	1.7559	WW	56	verkiezen	522	.WW.N.ADJ.	.56.2.1.	.522.2.1.	2944751	259981	43388	1	7	2	complex	singular past	Verb
verkorgt	3	1.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3159572	260583	43192	NA	NA	NA	NA	NA	NA
verkraagt	2	1.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3417210	297622	49271	NA	NA	NA	NA	NA	NA
verkrampt	1	2.2	67	53	148	25	24	40	0.5717	1.415	0.2974	1.3979	WW	23	verkrampen	36	.WW.ADJ.	.23.2.	.36.4.	3223764	269298	45629	1	9	2	complex	positive	Adjective
verkreeg	1	1.9	194	82	2354	13	13	323	0.2973	1.1461	0.1611	1.1461	WW	13	verkrijgen	323	.WW.	.13.	.323.	3936743	302075	46121	1	8	2	complex	singular past	Verb
verkrijf	2	1.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2912897	255139	50130	NA	NA	NA	NA	NA	NA
verkrijgt	1	1.85	206	97	2354	20	18	323	0.4574	1.3222	0.223	1.2788	WW	20	verkrijgen	323	.WW.	.20.	.323.	3223526	284986	49917	1	9	2	complex	singular 2p present.singular 3p present	Verb
verkroomd	1	2.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3246521	285865	46061	NA	NA	NA	NA	NA	NA
verkruind	0	2.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3353678	343581	63124	NA	NA	NA	NA	NA	NA
verkt	7	1.65	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2565699	228231	41952	NA	NA	NA	NA	NA	NA
verkweerd	0	1.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4013354	412060	76198	NA	NA	NA	NA	NA	NA
verkwempt	0	2.85	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3372264	256941	42399	NA	NA	NA	NA	NA	NA
verlaafd	1	1.85	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3059128	286305	41652	NA	NA	NA	NA	NA	NA
verlaagd	7	1.5	146	90	449	42	41	259	0.9605	1.6335	0.5081	1.6232	WW	42	verlagen	259	.WW.	.42.	.259.	3139184	281440	43190	1	8	2	complex	participle past	Verb
verlaalt	6	1.65	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3242044	297096	46367	NA	NA	NA	NA	NA	NA
verlaat	6	1.5	532	239	4638	1677	1297	6961	38.3495	3.2248	16.0719	3.1133	WW	1468	verlaten	6752	.WW.SPEC.	.1468.209.	.6752.209.	3083670	293226	45644	1	7	2	complex.undetermined	participle past.singular.singular 1p present.singular 2p present.singular 2p present inversed.singular 3p present	Noun.Verb
verlamd	2	1.8	358	192	672	299	228	390	6.8375	2.4771	2.8253	2.3598	WW	299	verlammen	390	.WW.	.299.	.390.	2860234	244636	38429	1	7	2	complex.lexicalised	participle past.positive	Adjective.Verb
verlang	5	1.5	266	123	4070	309	258	1607	7.0662	2.4914	3.197	2.4133	WW	286	verlangen	897	.WW.N.	.286.23.	.897.710.	3029534	282200	52721	1	7	2	undetermined	singular 1p present.singular 2p present inversed	Verb
verlangd	3	1.7	404	229	4070	76	75	897	1.738	1.8865	0.9294	1.8808	WW	76	verlangen	897	.WW.	.76.	.897.	3191325	299635	45664	1	8	2	undetermined	participle past	Verb
verlangt	5	1.65	506	227	4070	245	216	897	5.6026	2.3909	2.6766	2.3365	WW	245	verlangen	897	.WW.	.245.	.897.	3260107	303676	46052	1	8	2	undetermined	singular 2p present.singular 3p present	Verb
verleegd	3	1.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3889290	295314	42876	NA	NA	NA	NA	NA	NA
verleend	5	1.35	767	223	2549	115	105	434	2.6298	2.0645	1.3011	2.0253	WW	114	verlenen	430	.WW.N.	.114.1.	.430.4.	4047908	471856	88143	1	8	2	complex	participle past	Verb
verleent	6	1.6	256	136	2549	65	62	434	1.4864	1.8195	0.7683	1.7993	WW	63	verlenen	430	.WW.N.	.63.2.	.430.4.	4116690	447578	53876	1	8	2	complex	singular 2p present.singular 3p present	Verb
verleerd	5	1.55	64	52	92	61	56	102	1.3949	1.7924	0.6939	1.7559	WW	61	verleren	102	.WW.	.61.	.102.	4030663	422596	74786	1	8	2	complex	participle past	Verb
verlegd	4	1.6	105	83	299	9	9	83	0.2058	1	0.1115	1	WW	9	verleggen	83	.WW.	.9.	.83.	3283464	259540	39548	1	7	2	complex	participle past	Verb
verleid	9	1.4	147	87	733	221	187	731	5.0538	2.3464	2.3172	2.2742	WW	178	verleiden	685	.WW.N.SPEC.	.178.39.4.	.685.42.4.	3384997	269061	49286	1	7	2	undetermined	participle past.singular 1p present.singular 2p present inversed	Verb
verlekt	8	1.55	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3329899	272518	41011	NA	NA	NA	NA	NA	NA
verleld	9	1.55	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3317542	305506	47084	NA	NA	NA	NA	NA	NA
verlelt	8	1.55	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3386324	304716	41517	NA	NA	NA	NA	NA	NA
verlengd	4	1.6	167	101	512	52	47	206	1.1891	1.7243	0.5824	1.6812	WW	51	verlengen	205	.WW.ADJ.	.51.1.	.205.1.	3566378	418718	50145	1	8	2	complex	participle past	Verb
verlicht	3	1.75	728	291	1747	208	184	467	4.7565	2.3201	2.28	2.2672	WW	180	verlichten	431	.WW.ADJ.N.SPEC.	.180.15.12.1.	.431.20.15.1.	2985477	304246	59780	1	8	2	complex.lexicalised	participle past.positive.singular 1p present.singular 2p present.singular 2p present inversed.singular 3p present	Adjective.Verb
verliefd	1	1.85	1704	303	1975	4686	2205	4797	107.159	3.6709	27.3234	3.3436	ADJ	4684	verliefd	4791	.ADJ.WW.SPEC.	.4684.1.1.	.4791.5.1.	3429237	281526	43878	1	8	2	lexicalised.undetermined	participle past.positive	Adjective.Verb
verliend	5	1.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3667911	466787	88240	NA	NA	NA	NA	NA	NA
verliep	4	1.65	574	251	1928	127	119	873	2.9042	2.1072	1.4746	2.0792	WW	127	verlopen	873	.WW.	.127.	.873.	3308710	257299	43060	1	7	2	complex	singular past	Verb
verlies	7	1.6	1623	428	8617	2146	1672	14731	49.0745	3.3318	20.7187	3.2235	N	1296	verlies	1419	.N.WW.	.1296.850.	.1419.13312.	3425015	303562	54254	1	7	2	undetermined	singular.singular 1p present.singular 2p present inversed	Noun.Verb
verliest	3	1.75	844	332	6852	1452	1168	13313	33.2042	3.1623	14.4734	3.0678	WW	1451	verliezen	13312	.WW.N.	.1451.1.	.13312.1.	3655588	361262	60236	1	8	2	undetermined	singular 2p present.singular 3p present	Verb
verliet	7	1.4	1412	338	4581	867	699	6758	19.8265	2.9385	8.6617	2.8451	WW	863	verlaten	6751	.WW.N.SPEC.	.863.3.1.	.6751.6.1.	3453779	296624	45660	1	7	2	complex	singular past	Verb
verlocht	5	1.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2963556	289078	55502	NA	NA	NA	NA	NA	NA
verlof	4	1.7	618	172	635	482	318	497	11.0223	2.6839	3.9405	2.5038	N	481	verlof	496	.N.ADJ.	.481.1.	.496.1.	2639699	207089	37403	1	6	2	undetermined	singular	Noun
verloofd	2	1.75	166	99	453	629	419	1297	14.3839	2.7993	5.1921	2.6232	WW	593	verloven	1241	.WW.N.	.593.36.	.1241.56.	3005398	260074	42533	1	8	2	lexicalised.undetermined	participle past.positive	Adjective.Verb
verloop	8	1.5	1378	393	3306	120	114	120	2.7441	2.0828	1.4126	2.0607	N	120	verloop	120	.N.	.120.	.120.	2884871	243492	44249	1	7	2	complex.undetermined	singular.singular 1p present.singular 2p present inversed	Noun.Verb
verloopt	5	1.6	602	251	1928	304	277	873	6.9518	2.4843	3.4325	2.444	WW	304	verlopen	873	.WW.	.304.	.873.	3115444	277663	43964	1	8	2	complex	singular 2p present.singular 3p present	Verb
verloor	5	1.75	1083	355	6852	1321	1033	13312	30.2085	3.1212	12.8005	3.0145	WW	1321	verliezen	13312	.WW.	.1321.	.13312.	3065036	273742	51942	1	7	2	undetermined	singular past	Verb
verloord	4	1.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3226827	300719	56882	NA	NA	NA	NA	NA	NA
verlopt	6	1.65	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2911536	250818	40066	NA	NA	NA	NA	NA	NA
verlost	2	1.8	393	190	813	264	226	574	6.0371	2.4232	2.8005	2.356	WW	264	verlossen	574	.WW.	.264.	.574.	3027841	294109	49232	1	7	2	complex	participle past.singular 2p present.singular 3p present	Verb
verm	10	1.45	NA	NA	NA	3	3	3	0.0686	0.6021	0.0372	0.6021	WW	2	verm	2	.WW.N.	.2.1.	.2.1.	2309296	189314	36323	NA	NA	NA	NA	NA	NA
vermaak	3	1.75	216	134	623	489	430	1236	11.1824	2.6902	5.3284	2.6345	N	195	vermaak	197	.N.WW.SPEC.BW.	.195.149.144.1.	.197.894.144.1.	2872791	251128	42520	1	7	2	complex.undetermined	singular.singular 1p present.singular 2p present inversed	Noun.Verb
vermaap	4	1.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2856346	245793	40736	NA	NA	NA	NA	NA	NA
vermaard	5	1.7	78	45	242	12	10	41	0.2744	1.1139	0.1239	1.0414	ADJ	12	vermaard	41	.ADJ.	.12.	.41.	3198302	309679	57687	1	8	2	undetermined	positive	Adjective
vermal	5	1.65	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2698443	222476	39493	NA	NA	NA	NA	NA	NA
