spelling	coltheart.N	OLD20	celex.frequency	celex.cd	celex.frequency.lemma	subtlex.frequency	subtlex.cd	subtlex.frequency.lemma	subtlex.frequency.million	subtlex.log10.frequency	subtlex.cd.percentage	subtlex.log10.cd	subtlex.dominant.pos	subtlex.dominant.pos.frequency	subtlex.dominant.pos.lemma	subtlex.dominant.pos.lemma.frequency	subtlex.all.pos	subtlex.all.pos.frequency	subtlex.all.pos.lemma.frequency	summed.monogram	summed.bigram	summed.trigram	stress	nchar	nsyl	celex.morphology	celex.flection	celex.synclass
majors	0	2.1	2	2	64	12	6	17	0.2744	1.1139	0.0743	0.8451	SPEC	9	majors	9	.SPEC.N.	.9.3.	.9.8.	2319625	104632	15060	10	6	2	monomorphemic	plural	Noun
mak	26	1	68	53	97	60	47	64	1.3721	1.7853	0.5824	1.6812	ADJ	43	mak	44	.ADJ.SPEC.	.43.17.	.44.20.	1708155	41792	5553	1	3	1	monomorphemic	positive	Adjective
maken	20	1	37306	808	86305	41861	7717	113033	957.2731	4.6218	95.6258	3.8875	WW	41858	maken	113029	.WW.SPEC.N.	.41858.2.1.	.113029.2.2.	2596895	283112	88313	10	5	2	monomorphemic	infinitive.plural present	Verb
makend	11	1.25	220	160	86305	52	47	113029	1.1891	1.7243	0.5824	1.6812	WW	52	maken	113029	.WW.	.52.	.113029.	2758686	284324	61969	10	6	2	monomorphemic	participle present	Verb
maker	12	1.15	168	89	244	151	103	203	3.4531	2.1818	1.2763	2.017	N	151	maker	203	.N.	.151.	.203.	2579650	208087	32999	10	5	2	complex	singular	Noun
makers	7	1.4	76	52	244	52	49	203	1.1891	1.7243	0.6072	1.699	N	52	maker	203	.N.	.52.	.203.	2781459	237261	37976	10	6	2	complex	plural	Noun
makker	15	1	165	78	438	1235	706	1399	28.2419	3.092	8.7485	2.8494	N	1231	makker	1378	.N.SPEC.	.1231.4.	.1378.21.	2681599	215466	38881	10	6	2	monomorphemic	comparative.singular	Adjective.Noun
makkers	9	1.3	165	92	341	143	121	1378	3.2701	2.1584	1.4994	2.0864	N	143	makker	1378	.N.	.143.	.1378.	2883408	244640	43858	10	7	2	monomorphemic	plural	Noun
makles	1	1.95	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2674164	131727	17315	NA	NA	NA	NA	NA	NA
makoe	2	1.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2517889	134157	6234	NA	NA	NA	NA	NA	NA
makreel	0	2.4	77	16	111	20	16	22	0.4574	1.3222	0.1983	1.2304	N	20	makreel	22	.N.	.20.	.22.	3343850	182345	17899	1	7	2	monomorphemic	singular	Noun
