spelling	lexicality	rt	zscore	accuracy	rt.sd	zscore.sd	accuracy.sd	sub50.rt	sub50.zscore	sub50.accuracy	sub50.rt.sd	sub50.zscore.sd	sub50.accuracy.sd
keid	N	598.51282051282	-0.4441392137139	1	138.856016262752	0.554330770578063	0	598.51282051282	-0.4441392137139	1	138.856016262752	0.554330770578063	0
keiden	N	635.973684210526	-0.192560257081314	0.974358974358974	143.206425728190	0.61432368030967	0.160128153805087	639.351351351351	-0.0781962576157628	0.974358974358974	143.340933173756	0.78855638454578	0.160128153805087
keigand	N	623.923076923077	-0.234879725411392	1	143.033559664449	0.731082154996164	0	621.641025641026	-0.244448698817833	1	142.414607319150	0.729971606016557	0
keihost	N	696.28947368421	0.165989366311057	1	192.823390402207	0.813773369435081	0	696.28947368421	0.165989366311057	1	192.823390402207	0.813773369435081	0
keiken	N	640.388888888889	-0.04536915917397	0.974358974358974	130.942359789724	0.983043253814009	0.160128153805087	643.333333333333	-0.0188728835320761	0.974358974358974	132.737334612384	0.974101913361847	0.160128153805087
keinen	N	667.078947368421	-0.00196636540164781	1	190.398498401265	0.984798701403614	0	667.210526315789	0.0175477711257192	1	190.190964899611	0.971844351710319	0
keintje	N	678.388888888889	0.0616932230148133	0.948717948717949	135.462230429799	0.765196411811065	0.223455865030959	678.388888888889	0.0616932230148133	0.948717948717949	135.462230429799	0.765196411811065	0.223455865030959
keintjes	N	727.757575757576	0.428583810578039	0.897435897435897	197.722189938154	1.14181598574763	0.307354740604728	725.636363636364	0.442930759913817	0.897435897435897	195.370452311407	1.15913208575332	0.307354740604728
keiper	N	644.947368421053	-0.270023879326464	0.974358974358974	156.442882655071	0.630577937241948	0.160128153805087	651.5	-0.214261699094302	0.974358974358974	155.462300983316	0.683355085805276	0.160128153805087
keis	N	604.297297297297	-0.282285521876599	0.974358974358974	121.935744660152	0.873292082846022	0.160128153805087	604.297297297297	-0.282285521876599	0.974358974358974	121.935744660152	0.873292082846022	0.160128153805087
keisde	N	670.675675675676	0.0404441739190834	0.974358974358974	175.902917361641	0.866506066901641	0.160128153805087	665.864864864865	0.0269800663699340	0.974358974358974	162.953497484228	0.84241713816388	0.160128153805087
keist	N	641.153846153846	-0.086395983649796	1	140.208592435387	0.607747184860184	0	641.153846153846	-0.086395983649796	1	140.208592435387	0.607747184860184	0
keit	N	592.315789473684	-0.429028970420835	0.974358974358974	111.844753713099	0.565957443172894	0.160128153805087	589.552631578947	-0.430775467385929	0.974358974358974	113.066996969489	0.56684007628288	0.160128153805087
kekert	N	702.307692307692	-0.00144738988867835	1	188.313450038990	0.831536306996956	0	698.333333333333	0.0204646877370907	1	188.417835413090	0.854356193111943	0
kekje	N	645.216216216216	-0.130189487084535	0.948717948717949	146.364866597740	0.610217556733602	0.223455865030959	645.216216216216	-0.130189487084535	0.948717948717949	146.364866597740	0.610217556733602	0.223455865030959
kekjes	N	620.263157894737	-0.254244497455252	0.974358974358974	115.572765007072	0.629838884294838	0.160128153805087	628.236842105263	-0.215995968387357	0.974358974358974	118.390429263136	0.631936934050166	0.160128153805087
kekken	N	689.315789473684	0.181510180351381	1	180.218501804346	0.897676022467438	0	694.051282051282	0.107428315315089	1	180.273614953251	0.726155514228894	0
kekker	N	698	0.456875546981965	0.846153846153846	130.132558411109	1.13219796600209	0.365517768195196	698	0.456875546981965	0.846153846153846	130.132558411109	1.13219796600209	0.365517768195196
kekkers	N	651.842105263158	-0.0795266384634497	0.974358974358974	139.290970258119	0.581730963853879	0.160128153805087	655.684210526316	-0.0600910460880281	0.974358974358974	139.947693947602	0.582090436828966	0.160128153805087
kekte	N	653.157894736842	-0.166310823966634	0.974358974358974	186.915001106630	0.671307583135687	0.160128153805087	653.157894736842	-0.166310823966634	0.974358974358974	186.915001106630	0.671307583135687	0.160128153805087
kekten	N	623.621621621622	-0.168637625374405	1	146.071586588249	0.931820571377807	0	622.054054054054	-0.159121330404238	1	147.212421340718	0.927415180327011	0
kekters	N	664.243243243243	-0.0597764162573220	0.974358974358974	196.907536874743	0.760509204192682	0.160128153805087	664.243243243243	-0.0597764162573220	0.974358974358974	196.907536874743	0.760509204192682	0.160128153805087
kel	N	674.368421052632	0.143676878743252	1	148.036595375645	0.878974961154075	0	672.736842105263	0.138710995237061	1	149.932360282990	0.88621517830982	0
keld	N	633.578947368421	-0.253027300010616	0.974358974358974	137.439054125318	0.632510554548778	0.160128153805087	633.578947368421	-0.253027300010616	0.974358974358974	137.439054125318	0.632510554548778	0.160128153805087
kelden	N	742.085714285714	0.57626352783542	0.923076923076923	156.433103806025	0.790580440445977	0.269952762399508	742.057142857143	0.577788423580615	0.923076923076923	156.457087305329	0.789819610452994	0.269952762399508
kelfjes	N	697.621621621622	0.0414802265105115	0.948717948717949	163.346487795346	0.665843021972196	0.223455865030959	702.27027027027	0.0899094533250298	0.948717948717949	167.678039483186	0.73330153702025	0.223455865030959
kelg	N	634.194444444444	-0.233711857618986	0.923076923076923	121.244927892603	0.657638824823702	0.269952762399508	619.027777777778	-0.311803754562088	0.923076923076923	123.416712485121	0.594441638995785	0.269952762399508
kellen	N	726.944444444444	0.261906539956777	0.948717948717949	173.134125454300	0.83469426848166	0.223455865030959	726.944444444444	0.261906539956777	0.948717948717949	173.134125454300	0.83469426848166	0.223455865030959
kels	N	585.815789473684	-0.361202100952883	1	108.287369247522	0.75961408509919	0	588.026315789474	-0.378845743314368	1	108.644843372638	0.755591018122535	0
kelsjes	N	636.351351351351	-0.0849545370505482	0.974358974358974	148.662783248273	0.807338501632421	0.160128153805087	636.351351351351	-0.0849545370505482	0.974358974358974	148.662783248273	0.807338501632421	0.160128153805087
kelt	N	670.214285714286	-0.0235422811101077	0.717948717948718	194.678149802647	0.846689440831399	0.455880752454893	670.214285714286	-0.0235422811101077	0.717948717948718	194.678149802647	0.846689440831399	0.455880752454893
kelven	N	691.771428571429	0.0304214273938173	0.897435897435897	240.676630224321	0.794408584077236	0.307354740604728	691.771428571429	0.0304214273938173	0.897435897435897	240.676630224321	0.794408584077236	0.307354740604728
kelzaar	N	618.378378378378	-0.102215749908803	1	126.180063434793	1.23038513495976	0	618.378378378378	-0.102215749908803	1	126.180063434793	1.23038513495976	0
kem	N	639.864864864865	-0.29799132318999	0.948717948717949	147.093538297945	0.629148315434165	0.223455865030959	640.054054054054	-0.294897729630594	0.948717948717949	146.828309778981	0.62634501076751	0.223455865030959
keme	N	537.416666666667	-0.529381273877721	0.974358974358974	102.793100101959	1.0431503353699	0.160128153805087	537.416666666667	-0.529381273877721	0.974358974358974	102.793100101959	1.0431503353699	0.160128153805087
kemen	N	600.51282051282	-0.382796107607456	1	102.435569427522	0.663934216062319	0	600.51282051282	-0.382796107607456	1	102.435569427522	0.663934216062319	0
kemmen	N	693.583333333333	0.362856907740787	0.974358974358974	140.544121186195	1.19460499930349	0.160128153805087	696.555555555556	0.36181606356366	0.974358974358974	138.178237783037	1.14727849374157	0.160128153805087
kempel	N	737.764705882353	0.518820771037969	0.923076923076923	180.151965955939	1.16121739516985	0.269952762399508	731.176470588235	0.481847615281471	0.923076923076923	186.136553098221	1.18328869450901	0.269952762399508
kempels	N	720.052631578947	0.303157422214821	1	177.173597473033	0.968030003528274	0	720.052631578947	0.303157422214821	1	177.173597473033	0.968030003528274	0
kempers	N	680.625	0.811401260549601	0.743589743589744	174.959576076503	1.71959500811105	0.442359030054757	680.625	0.811401260549601	0.743589743589744	174.959576076503	1.71959500811105	0.442359030054757
kempte	N	667.225806451613	0.046130700635476	0.82051282051282	122.809801367106	1.01309141302633	0.388776411984472	667.225806451613	0.046130700635476	0.82051282051282	122.809801367106	1.01309141302633	0.388776411984472
kempten	N	707.1	0.542986345676179	0.871794871794872	156.093550641031	1.27641979414072	0.338688428429370	707.1	0.542986345676179	0.871794871794872	156.093550641031	1.27641979414072	0.338688428429370
kenders	N	618.897435897436	-0.254927111188621	1	182.316929789828	0.779812350985329	0	617.333333333333	-0.267889786921532	1	182.735692554392	0.789873021494796	0
kenk	N	609.473684210526	-0.322207239350549	1	120.624890274053	0.66280499753881	0	609.473684210526	-0.322207239350549	1	120.624890274053	0.66280499753881	0
kenksen	N	620.21052631579	-0.370712199582427	0.974358974358974	170.373541578456	0.640321055674684	0.160128153805087	620.21052631579	-0.370712199582427	0.974358974358974	170.373541578456	0.640321055674684	0.160128153805087
kenkte	N	655.277777777778	0.0101206293203391	0.948717948717949	165.295685037642	0.88729605371212	0.223455865030959	655.277777777778	0.0101206293203391	0.948717948717949	165.295685037642	0.88729605371212	0.223455865030959
kenons	N	605.128205128205	-0.481440614683699	1	111.71396263088	0.487045793618714	0	603.179487179487	-0.479170340217246	1	115.207106824570	0.509643839557035	0
kensie	N	603.78947368421	-0.342010687496273	1	165.323786796688	1.06376322560209	0	607.736842105263	-0.341624915527273	1	167.487100626420	1.06600879535540	0
kenst	N	629.641025641026	-0.266221906250055	1	105.967096973663	0.586158771350771	0	624.538461538462	-0.291572942768933	1	107.216418163855	0.581123283654875	0
kentste	N	661.794871794872	-0.00326895932680732	1	123.380493955888	0.70549964268082	0	661.794871794872	-0.00326895932680732	1	123.380493955888	0.70549964268082	0
kenverst	N	656.846153846154	-0.141913489044579	1	142.527289808236	0.66831191575581	0	656.846153846154	-0.141913489044579	1	142.527289808236	0.66831191575581	0
kep	N	609.513513513514	-0.295153849465504	0.948717948717949	130.037734186321	0.72610361088268	0.223455865030959	609.594594594595	-0.296616017733112	0.948717948717949	129.910751299896	0.728172742640667	0.223455865030959
keppen	N	700.972972972973	0.126829993023026	0.948717948717949	202.327222105195	0.913866854747633	0.223455865030959	700.972972972973	0.126829993023026	0.948717948717949	202.327222105195	0.913866854747633	0.223455865030959
kepra	N	602.388888888889	-0.378478747739082	0.948717948717949	132.287841527001	0.774649872243486	0.223455865030959	600.138888888889	-0.39358993978805	0.948717948717949	131.740253698118	0.774868099180092	0.223455865030959
ker	N	611.153846153846	-0.310046436531033	1	106.762534938043	0.77263093923636	0	611.153846153846	-0.310046436531033	1	106.762534938043	0.77263093923636	0
kerde	N	611.594594594595	-0.277503662934426	0.974358974358974	150.627107538867	0.858900882752463	0.160128153805087	611.594594594595	-0.277503662934426	0.974358974358974	150.627107538867	0.858900882752463	0.160128153805087
kerden	N	624.394736842105	-0.231482573309261	1	184.452812316729	0.882459164598466	0	624.394736842105	-0.231482573309261	1	184.452812316729	0.882459164598466	0
kerding	N	591.435897435897	-0.499786465982653	1	73.7295180735479	0.350760689502166	0	590.589743589744	-0.496152045609321	1	74.8228497145505	0.348966854570208	0
kerkwoonst	N	734	1.08580245850466	0.641025641025641	196.604227376275	1.68096965717169	0.485970514980589	725.45	0.992777658900388	0.641025641025641	195.143260465903	1.65195720808056	0.485970514980589
kerkworp	N	744.068965517241	0.907347040850882	0.871794871794872	194.849746331167	1.61474380986146	0.338688428429370	751.03448275862	0.96200870295529	0.871794871794872	194.012975037132	1.62019889791449	0.338688428429370
kerkzaf	N	714.485714285714	0.501988654921815	0.974358974358974	153.706628780585	1.14139200447361	0.160128153805087	714.485714285714	0.501988654921815	0.974358974358974	153.706628780585	1.14139200447361	0.160128153805087
kermste	N	725.189189189189	0.320623134146473	1	224.220357614488	1.08506406316696	0	729.324324324324	0.350682681624848	1	226.394205615639	1.08596559753561	0
kermte	N	661.272727272727	0.109570554719956	0.897435897435897	173.830965438999	1.05670948451999	0.307354740604728	664.59375	0.130489812326637	0.871794871794872	175.545575255930	1.06521907727861	0.338688428429370
kernbaar	N	854.941176470588	1.68318371192992	0.58974358974359	261.723487336405	1.58547344318283	0.49831023511298	875.5	1.70155143257520	0.615384615384615	268.473078943955	1.55323229377932	0.492864058090144
kerstbank	N	876.619047619048	1.37515826417240	0.615384615384615	154.846206343738	0.906524963795847	0.492864058090144	876.619047619048	1.37515826417240	0.615384615384615	154.846206343738	0.906524963795847	0.492864058090144
kersttoest	N	795	1.04485680108583	0.846153846153846	219.560166393330	1.25532400736441	0.365517768195196	795	1.04485680108583	0.846153846153846	219.560166393330	1.25532400736441	0.365517768195196
kert	N	609.578947368421	-0.262262193912418	1	110.063036380251	0.827035530070164	0	609.578947368421	-0.262262193912418	1	110.063036380251	0.827035530070164	0
kerten	N	640.552631578947	-0.161033441143682	1	148.759864059664	0.744127308832368	0	640.552631578947	-0.161033441143682	1	148.759864059664	0.744127308832368	0
kerts	N	676.675675675676	0.0517887638956225	0.974358974358974	167.090968911823	0.88432252312423	0.160128153805087	676.675675675676	0.0517887638956225	0.974358974358974	167.090968911823	0.88432252312423	0.160128153805087
kes	N	551.25641025641	-0.78008807912661	1	87.5020955985801	0.325821222881249	0	551.25641025641	-0.78008807912661	1	87.5020955985801	0.325821222881249	0
kesjes	N	642.461538461538	-0.252706109960017	1	155.052935978219	0.62002242683836	0	642.461538461538	-0.252706109960017	1	155.052935978219	0.62002242683836	0
kessel	N	641.162162162162	-0.192715546038639	0.948717948717949	168.129499281145	0.911504217830508	0.223455865030959	642.324324324324	-0.185577643424952	0.948717948717949	167.636851897529	0.906561858119318	0.223455865030959
kessels	N	676.416666666667	-0.0199604931346680	0.923076923076923	181.344403986290	0.864441387824621	0.269952762399508	677.405405405405	-0.0248704787395192	0.948717948717949	178.909110919399	0.852873798065396	0.223455865030959
kessen	N	639.948717948718	-0.241602402600377	1	147.885081400879	0.591332127499709	0	642.564102564103	-0.225330977080413	1	145.804626825690	0.58066306433072	0
kest	N	619	0.0100795302034768	1	129.834510050294	1.49185041667884	0	612.108108108108	-0.0238841529476399	1	132.537161200544	1.51094468435811	0
keste	N	615.21052631579	-0.289746948835644	1	140.616241785114	0.783832733021788	0	618.736842105263	-0.245937308002958	1	140.487891987757	0.749916585615584	0
kesten	N	682.891891891892	0.161220729532625	1	171.721153777438	0.961601828916433	0	682.891891891892	0.161220729532625	1	171.721153777438	0.961601828916433	0
kestig	N	644.051282051282	-0.201623371276322	1	195.437693492803	0.766528124023384	0	644.051282051282	-0.201623371276322	1	195.437693492803	0.766528124023384	0
kestweg	N	703.45945945946	0.29305477534174	0.974358974358974	171.936130679485	1.07195641332336	0.160128153805087	703.45945945946	0.29305477534174	0.974358974358974	171.936130679485	1.07195641332336	0.160128153805087
keter	N	749.85	0.899766310015242	0.58974358974359	215.725770122016	1.61061427468154	0.49831023511298	749.85	0.899766310015242	0.58974358974359	215.725770122016	1.61061427468154	0.49831023511298
keters	N	754.75	0.812837018952042	0.692307692307692	174.622885596113	1.31804797509870	0.467571900119518	774.458333333333	0.909642438989806	0.692307692307692	184.238498352984	1.28563541459061	0.467571900119518
ketsje	N	684.263157894737	0.189117297450404	1	172.91658420308	1.18824014154418	0	684.263157894737	0.189117297450404	1	172.91658420308	1.18824014154418	0
kette	N	700.416666666667	0.174904221383189	0.974358974358974	206.989630520123	1.05877828789807	0.160128153805087	700.416666666667	0.174904221383189	0.974358974358974	206.989630520123	1.05877828789807	0.160128153805087
ketten	N	809.935483870968	0.897357067649227	0.846153846153846	225.834000316438	1.28354646714235	0.365517768195196	811	0.90582551629639	0.82051282051282	229.615570780441	1.30314753484420	0.388776411984472
ketto	N	628.081081081081	-0.349100676715175	0.948717948717949	125.154655077978	0.61912540031847	0.223455865030959	633.135135135135	-0.215389375423482	0.974358974358974	122.803854934553	0.814233404046488	0.160128153805087
ketto's	N	611.435897435897	-0.345604390928258	1	126.028149502151	0.739863948454435	0	603.769230769231	-0.367578712374848	1	123.218560960523	0.752917813804555	0
