Subject,Age,Gender,Ita_Word,Eng_Word,Visual,Gustatory,Haptic,Olfactory,Auditory
3,23,F,DOLORE,ache,2,0,5,0,2
3,23,F,DOMINANTE,controlling,0,0,0,0,1
3,23,F,DONNA,woman,4,0,3,0,2
3,23,F,DONO,present,5,0,5,0,0
3,23,F,DORMIRE,sleep,2,0,0,0,2
3,23,F,DOTTORE,doctor,2,0,0,0,0
3,23,F,DROGATO,addict,1,0,0,0,0
3,23,F,DURO,hard,5,0,5,0,0
3,23,F,ECCELLENZA,excellence,1,1,0,0,1
3,23,F,ECCEZIONALE,outstanding,1,1,1,1,1
3,23,F,ECCITATO,aroused,3,0,1,0,3
3,23,F,ECCITAZIONE,excitement,5,0,0,0,4
3,23,F,EDIFICIO,building,5,0,1,0,0
3,23,F,EGOISTA,selfish,0,0,0,0,2
3,23,F,ELEFANTE,elephant,5,0,4,3,5
3,23,F,ELEGANTE,elegant,2,0,0,0,0
3,23,F,ELEMENTO,item,3,3,3,3,0
3,23,F,ELETTRODOMESTICO,appliance,4,0,4,0,3
3,23,F,ELICOTTERO,helicopter,3,0,0,0,3
3,23,F,EMICRANIA,headache,0,0,3,0,0
3,23,F,ENTUSIASMARE,thrill,1,0,0,0,1
3,23,F,ENTUSIASMO,zest,2,0,0,0,2
3,23,F,ERBA,grass,5,0,4,4,0
3,23,F,EROINA,heroin,2,0,0,0,0
3,23,F,EROTICO,erotic,5,0,4,1,4
3,23,F,ERRORE,mistake,2,0,0,0,1
3,23,F,ESECUZIONE,execution,3,0,0,0,3
3,23,F,ESERCITO,army,5,0,1,3,5
3,23,F,ESERCIZIO,exercise,1,0,1,0,1
3,23,F,ESTASI,ecstasy,2,0,0,0,0
3,23,F,ESTERNO,outdoors,5,0,4,4,4
3,23,F,ESULTANTE,elated,2,0,0,0,2
3,23,F,EVENTO,event,4,0,0,0,4
3,23,F,EVIDENTE,plain,1,0,0,0,0
3,23,F,EVIDENZIATORE,marker,5,0,4,2,0
3,23,F,FACCIA,face,4,0,3,1,0
3,23,F,FACILE,easy,1,0,0,0,0
3,23,F,FALCO,hawk,5,0,4,1,5
3,23,F,FALLIMENTO,failure,1,0,0,0,0
3,23,F,FALSO,false,4,0,2,0,0
3,23,F,FAMA,fame,0,0,0,0,1
3,23,F,FAMELICO,starving,3,0,0,0,3
3,23,F,FAMIGLIA,family,3,0,0,0,2
3,23,F,FAMOSO,famous,4,0,0,0,3
3,23,F,FANALE,headlight,3,0,1,0,0
3,23,F,FANGHIGLIA,slush,3,0,2,0,0
3,23,F,FANGOSO,muddy,4,0,2,0,0
3,23,F,FANTASIA,fantasy,1,1,1,1,1
3,23,F,FARFALLA,butterfly,5,0,3,0,0
3,23,F,FARO,lighthouse,3,0,0,0,0
3,23,F,FASCINO,glamour,3,0,0,0,3
3,23,F,FASE,phase,0,0,0,0,0
3,23,F,FASTIDIO,nuisance,3,0,3,3,3
3,23,F,FATTORIA,farm,4,0,1,4,4
3,23,F,FAVORE,favor,0,0,0,0,0
3,23,F,FAZZOLETTO,kerchief,3,0,3,1,0
3,23,F,FEBBRE,fever,1,0,4,0,0
3,23,F,FECCIA,scum,1,0,0,0,0
