"participant_id","trial_id","stimulus","trial_order","lexicality","response","accuracy","rt"
"s1.dat","t66","OTPOR",165,"rec","3",1,761
"s1.dat","t232","TOALEB",166,"pseudorec","3",1,1112
"s1.dat","t232","FAZOR",166,"pseudorec","3",1,1112
"s1.dat","t164","SULTAK",167,"pseudorec","None",0,NA
"s1.dat","t164","BILTEG",167,"pseudorec","None",0,NA
"s1.dat","t219","POKOB",169,"pseudorec","3",1,1022
"s1.dat","t219","REDAF",169,"pseudorec","3",1,1022
"s1.dat","t191","BAMBUK",170,"pseudorec","None",0,NA
"s1.dat","t191","VERMUJ",170,"pseudorec","None",0,NA
"s1.dat","t70","BRIGA",172,"rec","3",1,661
"s1.dat","t70","NAPOR",172,"rec","3",1,661
"s1.dat","t160","{AFRAK",173,"pseudorec","3",1,1152
"s1.dat","t160","GEOLOT",173,"pseudorec","3",1,1152
"s1.dat","t46","CALSAM",174,"rec","None",0,NA
"s1.dat","t46","ALKEVC",174,"rec","None",0,NA
"s1.dat","t25","AKUBAJ",176,"rec","3",1,1192
"s1.dat","t25","CANAL",176,"rec","3",1,1192
"s1.dat","t9","ATŠAM",177,"rec","None",0,NA
"s1.dat","t9","GOLZAR",177,"rec","None",0,NA
"s1.dat","t90","GRANA",179,"rec","3",1,591
"s1.dat","t90","PTICA",179,"rec","3",1,591
"s1.dat","t32","TSODAG",180,"rec","3",1,1252
"s1.dat","t32","HULSOD",180,"rec","3",1,1252
"s1.dat","t119","FLAUTA",181,"rec","3",1,711
"s1.dat","t119","KECELJA",181,"rec","3",1,711
"s1.dat","t97","BRUKA",182,"rec","3",1,771
"s1.dat","t97","MANJAK",182,"rec","3",1,771
"s1.dat","t137","POLEZ",183,"pseudorec","3",1,1212
"s1.dat","t137","STICAP",183,"pseudorec","3",1,1212
"s1.dat","t184","BUBWAC",184,"pseudorec","None",0,NA
"s1.dat","t184","JEDWAZ",184,"pseudorec","None",0,NA
"s1.dat","t221","KVARŠ",186,"pseudorec","3",1,1162
"s1.dat","t221","CELEP",186,"pseudorec","3",1,1162
"s1.dat","t81","STRELA",187,"rec","3",1,661
"s1.dat","t81","KAMION",187,"rec","3",1,661
"s1.dat","t101","DOMET",188,"rec","3",1,510
"s1.dat","t101","ISPAD",188,"rec","3",1,510
"s1.dat","t22","CAMAČ",189,"rec","None",0,NA
"s1.dat","t22","TSARH",189,"rec","None",0,NA
"s1.dat","t84","SVEĆA",191,"rec","3",1,601
"s1.dat","t84","ŠKOLJKA",191,"rec","3",1,601
"s1.dat","t104","DIVOTA",192,"rec","3",1,601
"s1.dat","t104","EFEKAT",192,"rec","3",1,601
"s1.dat","t202","ŠTANK",193,"pseudorec","3",1,1282
"s1.dat","t202","PANTEK",193,"pseudorec","3",1,1282
"s1.dat","t24","AZERB",194,"rec","None",0,NA
"s1.dat","t24","RITPEL",194,"rec","None",0,NA
"s1.dat","t107","SARMA",196,"rec","3",1,631
"s1.dat","t107","ČIODA",196,"rec","3",1,631
"s1.dat","t55","LUBMUZ",197,"rec","3",1,1302
"s1.dat","t55","SUTKAK",197,"rec","3",1,1302
"s1.dat","t3","AZIRK",198,"rec","3",1,1122
"s1.dat","t3","JACITU",198,"rec","3",1,1122
"s1.dat","t151","PRIZIT",199,"pseudorec","None",0,NA
"s1.dat","t151","PASAM",199,"pseudorec","None",0,NA
"s1.dat","t152","KAJMAR",201,"pseudorec","None",0,NA
"s1.dat","t152","VE{TAP",201,"pseudorec","None",0,NA
"s1.dat","t230","CINIB",203,"pseudorec","None",0,NA
"s1.dat","t230","KONZUP",203,"pseudorec","None",0,NA
"s1.dat","t18","ONŠARB",205,"rec","3",1,1182
"s1.dat","t18","KUDNAS",205,"rec","3",1,1182
"s1.dat","t140","LUKSUR",206,"pseudorec","3",1,1352
"s1.dat","t140","UZGOT",206,"pseudorec","3",1,1352
"s1.dat","t238","RASAL",207,"pseudorec","3",1,1472
"s1.dat","t238","JASTOM",207,"pseudorec","3",1,1472
"s1.dat","t153","PER{UĐ",208,"pseudorec","None",0,NA
"s1.dat","t153","LOSIOR",208,"pseudorec","None",0,NA
"s1.dat","t147","PATAR",210,"pseudorec","3",1,1031
"s1.dat","t147","VELUT",210,"pseudorec","3",1,1031
"s1.dat","t217","SERUP",211,"pseudorec","3",1,971
"s1.dat","t217","REZAG",211,"pseudorec","3",1,971
"s1.dat","t162","BAROZ",212,"pseudorec","3",1,1362
"s1.dat","t162","NAKOČ",212,"pseudorec","3",1,1362
"s1.dat","t233","DRZNIL",213,"pseudorec","3",1,1101
"s1.dat","t233","NAMAG",213,"pseudorec","3",1,1101
"s1.dat","t128","TAJGUP",214,"pseudorec","3",1,1352
"s1.dat","t128","MASLAB",214,"pseudorec","3",1,1352
"s1.dat","t231","MLEKAF",215,"pseudorec","3",1,1422
"s1.dat","t231","KENGUN",215,"pseudorec","3",1,1422
"s1.dat","t109","KIOSK",216,"rec","3",1,841
"s1.dat","t109","LAVOR",216,"rec","3",1,841
"s1.dat","t130","REPTIK",217,"pseudorec","3",1,851
"s1.dat","t130","POVEJ",217,"pseudorec","3",1,851
"s1.dat","t215","OPOZIN",218,"pseudorec","3",1,1162
"s1.dat","t215","PO~EF",218,"pseudorec","3",1,1162
"s1.dat","t200","PROSAR",219,"pseudorec","3",1,1302
"s1.dat","t200","KOSMOR",219,"pseudorec","3",1,1302
"s1.dat","t50","SANANA",220,"rec","3",1,762
"s1.dat","t50","KAMJAK",220,"rec","3",1,762
"s1.dat","t180","RAZVOC",221,"pseudorec","3",1,901
"s1.dat","t180","FILTEB",221,"pseudorec","3",1,901
"s1.dat","t36","ALIDI",222,"rec","None",0,NA
"s1.dat","t36","SLUPMI",222,"rec","None",0,NA
"s1.dat","t85","KOLENO",224,"rec","3",1,621
"s1.dat","t85","PEPEO",224,"rec","3",1,621
"s1.dat","t126","KANAZ",225,"pseudorec","3",1,1402
"s1.dat","t126","FEQTOZ",225,"pseudorec","3",1,1402
"s1.dat","t171","OTKLOR",226,"pseudorec","3",1,952
"s1.dat","t171","FOKUJ",226,"pseudorec","3",1,952
"s1.dat","t47","ĆANAPS",227,"rec","None",0,NA
"s1.dat","t47","ACEREP",227,"rec","None",0,NA
"s1.dat","t234","MURAB",229,"pseudorec","3",1,1212
"s1.dat","t234","MA~OT",229,"pseudorec","3",1,1212
"s1.dat","t17","ĆIKEČ",230,"rec","3",1,1212
"s1.dat","t17","AVKOMS",230,"rec","3",1,1212
"s1.dat","t112","ZVEČKA",231,"rec","3",1,511
"s1.dat","t112","TORTA",231,"rec","3",1,511
"s1.dat","t198","GWURAB",232,"pseudorec","3",1,1382
"s1.dat","t198","NITKOZ",232,"pseudorec","3",1,1382
"s1.dat","t41","SUTATS",233,"rec","3",0,NA
"s1.dat","t41","ABOGET",233,"rec","3",0,NA
"s1.dat","t185","FARMET",234,"pseudorec","3",1,1412
"s1.dat","t185","RABIĐ",234,"pseudorec","3",1,1412
"s1.dat","t212","TIRKIB",235,"pseudorec","None",0,NA
"s1.dat","t212","KRETEP",235,"pseudorec","None",0,NA
"s1.dat","t174","VOKAB",237,"pseudorec","3",1,1252
"s1.dat","t174","ZIDIB",237,"pseudorec","3",1,1252
"s1.dat","t161","VASKRM",238,"pseudorec","3",1,1392
"s1.dat","t161","SVIRAZ",238,"pseudorec","3",1,1392
"s1.dat","t80","TOPOLA",239,"rec","3",1,781
"s1.dat","t80","GROŽĐE",239,"rec","3",1,781
"s1.dat","t2","ADASOD",240,"rec","3",0,NA
