Target;Prime;ID;hand;age;gender;resp;RTs;resp_corr;accuracy
ascensore;industria;34;DX;22;F;1;0,771265;1;1
ascensore;industria;7;DX;21;F;1;0,57271;1;1
ascensore;industria;56;SX;22;M;1;0,657075;1;1
ascensore;industria;73;SX;21;F;1;0,4844;1;1
ascensore;industria;15;DX;23;F;1;0,64271;1;1
ascensore;industria;52;DX;22;F;1;0,499;1;1
ascensore;industria;12;DX;23;M;1;0,61417;1;1
ascensore;industria;10;DX;23;F;1;0,556925;1;1
ascensore;industria;45;DX;21;F;1;0,79872;1;1
ascensore;industria;66;SX;23;F;1;0,578115;1;1
ascensore;industria;58;DX;33;F;1;0,461775;1;1
ascensore;industria;28;DX;24;F;1;0,698;1;1
ascensore;industria;31;DX;27;F;1;0,701275;1;1
ascensore;industria;32;DX;24;F;1;0,5514;1;1
ascensore;industria;44;DX;24;M;1;0,831875;1;1
ascensore;industria;55;DX;20;F;1;1,03142;1;1
ascensore;industria;3;DX;21;F;1;0,566845;1;1
ascensore;industria;5;DX;24;F;1;0,80172;1;1
ascensore;industria;14;DX;21;M;1;0,697;1;1
ascensore;industria;36;DX;21;M;1;0,735615;1;1
ascensore;industria;22;DX;23;F;1;0,53399;1;1
ascensore;industria;26;DX;21;F;1;0,82926;1;1
ascensore;industria;37;DX;20;F;1;0,665085;1;1
ascensore;industria;13;DX;20;M;1;0,72718;1;1
ascensore;industria;35;DX;23;m;1;0,862;1;1
ascensore;industria;61;DX;25;M;1;0,74661;1;1
ascensore;industria;57;DX;29;F;1;0,645095;1;1
ascensore;industria;40;DX;23;F;1;0,801;1;1
ascensore;industria;6;DX;30;F;1;0,61879;1;1
ascensore;industria;11;DX;23;M;1;1,296115;1;1
ascensore;industria;48;DX;21;F;1;0,93704;1;1
ascensore;industria;18;DX;23;F;1;0,58396;1;1
ascensore;industria;70;DX;24;F;1;0,626435;1;1
ascensore;industria;60;DX;20;F;1;0,58401;1;1
ascensore;industria;65;DX;35;F;1;0,70045;1;1
ascensore;industria;75;DX;24;F;1;0,68821;1;1
ascensore;industria;69;DX;24;F;1;0,784065;1;1
ascensore;industria;2;DX;27;F;1;0,656;1;1
ascensore;industria;29;DX;24;F;1;0,751825;1;1
ascensore;industria;51;DX;25;M;1;0,651515;1;1
ascensore;industria;49;DX;21;F;1;0,71972;1;1
ascensore;industria;53;DX;25;F;1;0,52968;1;1
ascensore;industria;20;DX;22;F;1;0,472745;1;1
ascensore;industria;43;DX;22;M;1;0,624715;1;1
ascensore;industria;54;DX;26;F;1;0,52846;1;1
ascensore;industria;21;DX;24;F;1;0,65342;1;1
ascensore;industria;50;DX;22;F;1;0,564;1;1
ascensore;industria;62;SX;24;M;1;0,58848;1;1
ascensore;industria;74;DX;24;M;1;0,810375;1;1
ascensore;industria;33;DX;22;M;1;0,513;1;1
ascensore;industria;19;DX;20;F;1;0,602645;1;1
ascensore;industria;4;DX;30;M;1;0,617765;1;1
ascensore;industria;71;DX;21;M;1;2,762145;1;1
ascensore;industria;38;DX;20;F;1;0,66624;1;1
ascensore;industria;46;DX;22;F;1;0,655615;1;1
ascensore;industria;63;DX;22;F;1;0,803505;1;1
ascensore;industria;47;DX;22;F;1;0,63592;1;1
ascensore;industria;39;DX;28;F;1;0,748485;1;1
ascensore;industria;9;DX;26;F;1;0,832745;1;1
ascensore;industria;1;DX;21;M;1;0,903;1;1
ascensore;industria;25;DX;21;F;1;0,535895;1;1
ascensore;industria;27;DX;22;F;1;0,72648;1;1
ascensore;industria;68;DX;23;F;1;0,71592;1;1
ascensore;industria;17;DX;23;F;1;0,546575;1;1
ascensore;industria;30;DX;27;F;1;0,58191;1;1
ascensore;industria;59;DX;22;F;1;1,33718;1;1
ascensore;industria;41;DX;23;M;1;0,618065;1;1
ascensore;industria;42;DX;23;M;1;0,80287;1;1
ascensore;industria;64;DX;24;M;1;0,73553;1;1
ascensore;industria;23;DX;22;M;1;0,61778;1;1
ascensore;industria;8;SX;21;F;1;0,81831;1;1
ascensore;industria;24;DX;22;F;0;0,33009;1;0
ascensore;industria;72;DX;20;F;1;0,789;1;1
ascensore;industria;16;DX;27;F;1;0,597995;1;1
attico;tromba;74;DX;24;M;1;0,69551;1;1
attico;tromba;68;DX;23;F;1;0,680005;1;1
attico;tromba;32;DX;24;F;1;0,535685;1;1
