participant;task;stimuli;stem;affix;fs;length;zipf;r;g;b;ld;congruency;correct;type;key;accuracy;rt
28;ld;scienza;0;enza;3;7;4.291.638;0;0;255;0;2;1;1;1;1;557
28;ld;arancionemento;arancione;mento;1;14;3.671.648.609;255;128;0;5;1;2;0;2;2;566
28;ld;responsabile;0;abile;3;12;4.671.002;255;255;0;0;2;1;1;1;1;661
28;ld;verdemento;verde;mento;1;10;4.586.948.127;0;153;0;5;1;2;0;2;2;500
28;ld;verdenza;verde;enza;2;8;4.586.948.127;255;128;0;3;0;2;0;2;2;525
28;ld;blueria;blu;eria;1;7;464.683.347;0;0;255;4;1;2;0;2;2;462
28;ld;attenzione;0;zione;3;10;5.068.006;0;0;255;0;2;1;1;1;1;604
28;ld;miseria;0;eria;3;7;4.172.289;255;128;0;0;2;1;1;1;1;710
28;ld;bianchenza;bianco;enza;0;10;4.744.381.459;255;255;255;5;1;2;0;2;2;630
28;ld;verdabile;verde;abile;0;9;4.586.948.127;0;153;0;4;1;2;0;2;2;574
28;ld;dentista;0;ista;3;8;3.943.356;255;255;0;0;2;1;1;1;1;516
28;ld;blumento;blu;mento;1;8;464.683.347;255;255;255;5;0;2;0;2;2;742
28;ld;rosabile;rosa;abile;2;8;4.458.329.649;255;0;255;4;1;2;0;2;2;677
28;ld;biancabile;bianco;abile;0;10;4.744.381.459;255;0;255;5;0;2;0;2;2;446
29;ld;roseria;rosa;eria;0;7;4.458.329.649;255;128;0;3;0;2;0;1;2;1352
29;ld;rosatore;rosa;tore;1;8;4.458.329.649;255;255;255;4;0;2;0;2;2;974
29;ld;arancioneria;arancione;eria;2;12;3.671.648.609;255;255;0;3;0;2;0;1;2;941
29;ld;arancionoso;arancione;oso;0;11;3.671.648.609;255;128;0;3;1;2;0;2;2;969
29;ld;altezza;0;ezza;3;7;4.458.447;255;255;0;0;2;1;1;1;1;569
29;ld;togliere;0;iere;3;8;4.328.594;0;153;0;0;2;1;1;1;1;1152
29;ld;verdezza;verde;ezza;2;8;4.586.948.127;255;255;0;3;0;2;0;2;2;771
29;ld;bluiere;blu;iere;1;7;464.683.347;0;0;255;4;1;2;0;2;2;801
29;ld;infermiere;0;iere;3;10;4.035.711;255;255;0;0;2;1;1;1;1;699
29;ld;blutore;blu;tore;1;7;464.683.347;255;128;0;4;0;2;0;2;2;743
29;ld;biancomento;bianco;mento;1;11;4.744.381.459;255;0;255;5;0;2;0;2;2;1292
29;ld;rosiere;rosa;iere;0;7;4.458.329.649;255;0;255;4;1;2;0;1;2;1074
29;ld;imperatore;0;tore;3;10;4.058.391;0;0;255;0;2;1;1;1;1;663
29;ld;arancionabile;arancione;abile;0;13;3.671.648.609;255;128;0;4;1;2;0;2;2;963
29;ld;biancoso;bianco;oso;2;8;4.744.381.459;255;0;255;2;0;2;0;2;2;1232
29;ld;bianchenza;bianco;enza;0;10;4.744.381.459;255;128;0;5;0;2;0;1;2;802
29;ld;giallismo;giallo;ismo;0;9;4.088.825.104;0;0;255;3;0;2;0;1;2;1156
29;ld;verdabile;verde;abile;0;9;4.586.948.127;0;153;0;4;1;2;0;2;2;902
29;ld;rosismo;rosa;ismo;0;7;4.458.329.649;255;255;255;4;0;2;0;2;2;949
29;ld;verdetore;verde;tore;1;9;4.586.948.127;255;255;255;4;0;2;0;2;2;1073
29;ld;arancionezza;arancione;ezza;2;12;3.671.648.609;255;255;0;3;0;2;0;2;2;880
29;ld;tradimento;0;mento;3;10;4.077.132;255;255;255;0;2;1;1;1;1;655
29;ld;operazione;0;zione;3;10;4.682.565;255;0;255;0;2;1;1;1;1;805
29;ld;blumento;blu;mento;1;8;464.683.347;255;255;255;5;0;2;0;2;2;792
29;ld;bluzione;blu;zione;1;8;464.683.347;255;255;0;5;0;2;0;2;2;704
29;ld;intervista;0;ista;3;10;4.077.696;255;255;255;0;2;1;1;1;1;744
29;ld;arancionismo;arancione;ismo;0;12;3.671.648.609;0;153;0;4;0;2;0;2;2;1506
29;ld;schifoso;0;oso;3;8;4.051.261;255;255;0;0;2;1;1;1;1;609
29;ld;rosismo;rosa;ismo;0;7;4.458.329.649;255;0;255;4;1;2;0;1;2;1417
29;ld;famoso;0;oso;3;6;4.374.478;255;255;0;0;2;1;1;1;1;656
29;ld;bluezza;blu;ezza;1;7;464.683.347;0;0;255;4;1;2;0;2;2;612
29;ld;rosista;rosa;ista;0;7;4.458.329.649;255;0;255;3;1;2;0;2;2;1259
29;ld;bluista;blu;ista;1;7;464.683.347;0;0;255;4;1;2;0;2;2;644
29;ld;preoccupazione;0;zione;3;14;390.901;255;0;255;0;2;1;1;1;1;831
29;ld;senatore;0;tore;3;8;4.291.294;255;255;255;0;2;1;1;1;1;654
29;ld;giallotore;giallo;tore;1;10;4.088.825.104;255;255;0;4;1;2;0;2;2;1097
29;ld;organismo;0;ismo;3;9;3.612.527;0;153;0;0;2;1;1;1;1;682
29;ld;cambiamento;0;mento;3;11;4.248.779;0;153;0;0;2;1;1;1;1;675
29;ld;pericoloso;0;oso;3;10;4.697.022;255;255;0;0;2;1;1;1;1;606
29;ld;verdemento;verde;mento;1;10;4.586.948.127;0;153;0;5;1;2;0;2;2;868
29;ld;roseria;rosa;eria;0;7;4.458.329.649;255;0;255;3;1;2;0;1;2;834
29;ld;blueria;blu;eria;1;7;464.683.347;255;255;0;4;0;2;0;2;2;718
29;ld;investigatore;0;tore;3;13;399.267;255;128;0;0;2;1;1;1;1;576
29;ld;giallenza;giallo;enza;0;9;4.088.825.104;255;255;0;4;1;2;0;2;2;1045
29;ld;rosatore;rosa;tore;1;8;4.458.329.649;255;0;255;4;1;2;0;2;2;979
29;ld;scienza;0;enza;3;7;4.291.638;0;0;255;0;2;1;1;1;1;645
29;ld;bluoso;blu;oso;1;6;464.683.347;255;0;255;3;0;2;0;2;2;622
29;ld;bluenza;blu;enza;1;7;464.683.347;255;255;0;4;0;2;0;2;2;709
29;ld;biancozione;bianco;zione;1;11;4.744.381.459;0;153;0;5;0;2;0;2;2;945
29;ld;chiacchiere;0;iere;3;11;420.376;255;0;255;0;2;1;1;1;1;735
29;ld;bellezza;0;ezza;3;8;4.508.569;0;153;0;0;2;1;1;1;1;586
29;ld;giallomento;giallo;mento;1;11;4.088.825.104;0;0;255;5;0;2;0;2;2;943
29;ld;rosamento;rosa;mento;1;9;4.458.329.649;0;0;255;5;0;2;0;2;2;800
29;ld;bluoso;blu;oso;1;6;464.683.347;0;0;255;3;1;2;0;2;2;539
29;ld;rosenza;rosa;enza;0;7;4.458.329.649;255;255;0;3;0;2;0;2;2;657
29;ld;giallomento;giallo;mento;1;11;4.088.825.104;255;255;0;5;1;2;0;2;2;647
29;ld;arancionezione;arancione;zione;1;14;3.671.648.609;255;128;0;5;1;2;0;2;2;752
29;ld;materia;0;eria;3;7;4.023.113;255;255;255;0;2;1;1;1;1;615
29;ld;bianchista;bianco;ista;0;10;4.744.381.459;255;255;255;5;1;2;0;2;2;933
29;ld;verdenza;verde;enza;2;8;4.586.948.127;0;153;0;3;1;2;0;2;2;836
29;ld;verdiere;verde;iere;0;8;4.586.948.127;255;0;255;3;0;2;0;2;2;687
29;ld;arancionezione;arancione;zione;1;14;3.671.648.609;0;153;0;5;0;2;0;2;2;873
29;ld;differenza;0;enza;3;10;4.705.272;255;128;0;0;2;1;1;1;1;601
29;ld;bianchenza;bianco;enza;0;10;4.744.381.459;255;255;255;5;1;2;0;2;2;861
29;ld;arancionezza;arancione;ezza;2;12;3.671.648.609;255;128;0;3;1;2;0;1;2;1204
29;ld;verdiere;verde;iere;0;8;4.586.948.127;0;153;0;3;1;2;0;2;2;913
29;ld;verdabile;verde;abile;0;9;4.586.948.127;255;255;0;4;0;2;0;2;2;767
29;ld;potenza;0;enza;3;7;4.214.793;255;0;255;0;2;1;1;1;1;674
29;ld;bluiere;blu;iere;1;7;464.683.347;255;0;255;4;0;2;0;2;2;549
29;ld;emergenza;0;enza;3;9;4.604.809;255;255;0;0;2;1;1;1;1;571
29;ld;rosista;rosa;ista;0;7;4.458.329.649;255;255;255;3;0;2;0;2;2;832
29;ld;attenzione;0;zione;3;10;5.068.006;0;0;255;0;2;1;1;1;1;696
29;ld;riconoscimento;0;mento;3;14;3.827.411;255;255;0;0;2;1;1;1;1;1298
29;ld;arancionetore;arancione;tore;1;13;3.671.648.609;255;255;255;4;0;2;0;2;2;1063
29;ld;terrorismo;0;ismo;3;10;3.733.749;255;128;0;0;2;1;1;1;1;682
29;ld;giallabile;giallo;abile;0;10;4.088.825.104;0;153;0;5;0;2;0;2;2;700
29;ld;gialleria;giallo;eria;0;9;4.088.825.104;255;255;255;4;0;2;0;2;2;1537
29;ld;cacciatore;0;tore;3;10;4.056.323;0;0;255;0;2;1;1;1;1;560
29;ld;arancionabile;arancione;abile;0;13;3.671.648.609;0;153;0;4;0;2;0;2;2;1200
29;ld;bianchismo;bianco;ismo;0;10;4.744.381.459;0;0;255;4;0;2;0;2;2;774
29;ld;dottore;0;tore;3;7;5.216.434;255;255;0;0;2;1;1;1;1;645
29;ld;giallista;giallo;ista;0;9;4.088.825.104;255;0;255;4;0;2;0;2;2;714
29;ld;arancionetore;arancione;tore;1;13;3.671.648.609;255;128;0;4;1;2;0;2;2;804
29;ld;verdenza;verde;enza;2;8;4.586.948.127;255;128;0;3;0;2;0;2;2;594
29;ld;arancionista;arancione;ista;0;12;3.671.648.609;255;128;0;4;1;2;0;2;2;578
29;ld;arancioniere;arancione;iere;0;12;3.671.648.609;255;128;0;3;1;2;0;2;2;620
29;ld;verdismo;verde;ismo;0;8;4.586.948.127;0;153;0;4;1;2;0;2;2;598
29;ld;esperimento;0;mento;3;11;4.124.157;0;0;255;0;2;1;1;1;1;671
29;ld;arancionista;arancione;ista;0;12;3.671.648.609;255;0;255;4;0;2;0;2;2;628
29;ld;rosenza;rosa;enza;0;7;4.458.329.649;255;0;255;3;1;2;0;2;2;602
29;ld;bluezza;blu;ezza;1;7;464.683.347;255;0;255;4;0;2;0;2;2;519
29;ld;biancomento;bianco;mento;1;11;4.744.381.459;255;255;255;5;1;2;0;2;2;762
29;ld;verdezza;verde;ezza;2;8;4.586.948.127;0;153;0;3;1;2;0;2;2;613
29;ld;prezioso;0;oso;3;8;4.024.389;255;255;0;0;2;1;1;1;1;617
29;ld;bluismo;blu;ismo;1;7;464.683.347;0;153;0;4;0;2;0;2;2;571
29;ld;verderia;verde;eria;2;8;4.586.948.127;0;153;0;3;1;2;0;2;2;749
29;ld;verderia;verde;eria;2;8;4.586.948.127;255;0;255;3;0;2;0;2;2;524
29;ld;stazione;0;zione;3;8;4.603.552;255;255;0;0;2;1;1;1;1;611
29;ld;batteria;0;eria;3;8;4.046.745;255;255;0;0;2;1;1;1;1;504
29;ld;direttore;0;tore;3;9;4.726.724;0;0;255;0;2;1;1;1;1;607
29;ld;gialloso;giallo;oso;2;8;4.088.825.104;255;128;0;2;0;2;0;2;2;1054
