"participant_id","age","gender","trial_id","trial_order","stimulus","response"
"W6",54,"Male",375,14,"bat_wings",5
"W2",70,"Female",376,14,"bat_wings",5
"W22",50,"Female",377,14,"bat_wings",5
"W11",47,"Male",378,14,"bat_wings",6
"W23",36,"Female",379,14,"bat_wings",4
"W21",42,"Male",380,14,"bat_wings",7
"W13",52,"Female",381,14,"bat_wings",5
"W17",51,"Female",382,14,"bat_wings",2
"W3",65,"Female",383,14,"bat_wings",3
"W16",34,"Male",384,14,"bat_wings",3
"W8",44,"Female",385,14,"bat_wings",5
"W12",37,"Female",386,14,"bat_wings",4
"W18",37,"Male",387,14,"bat_wings",7
"W9",57,"Female",388,14,"bat_wings",5
"W4",38,"Nonbinary",389,14,"bat_wings",6
"W20",37,"Female",390,14,"bat_wings",5
"W11",47,"Male",391,15,"bear_hug",5
"W9",57,"Female",392,15,"bear_hug",3
"W5",35,"Female",393,15,"bear_hug",7
"W10",69,"Female",394,15,"bear_hug",6
"W20",37,"Female",395,15,"bear_hug",3
"W6",54,"Male",396,15,"bear_hug",6
"W21",42,"Male",397,15,"bear_hug",7
"W16",34,"Male",398,15,"bear_hug",5
"W13",52,"Female",399,15,"bear_hug",2
"W17",51,"Female",400,15,"bear_hug",1
"W7",40,"Male",401,15,"bear_hug",7
"W25",43,"Male",402,15,"bear_hug",3
"W8",44,"Female",403,15,"bear_hug",3
"W4",38,"Nonbinary",404,15,"bear_hug",5
"W12",37,"Female",405,15,"bear_hug",7
"W18",37,"Male",406,15,"bear_hug",4
"W2",70,"Female",407,15,"bear_hug",2
"W24",41,"Female",408,15,"bear_hug",7
"W1",50,"Female",409,15,"bear_hug",7
"W19",49,"Male",410,15,"bear_hug",6
"W22",50,"Female",411,15,"bear_hug",7
"W3",65,"Female",412,15,"bear_hug",7
"W15",44,"Male",413,15,"bear_hug",5
"W14",59,"Male",414,15,"bear_hug",7
"W26",34,"Male",415,15,"bear_hug",7
"W23",36,"Female",416,15,"bear_hug",6
"W22",50,"Female",417,16,"beer_goggles",1
"W17",51,"Female",418,16,"beer_goggles",2
"W3",65,"Female",419,16,"beer_goggles",6
"W18",37,"Male",420,16,"beer_goggles",2
"W7",40,"Male",421,16,"beer_goggles",5
"W16",34,"Male",422,16,"beer_goggles",3
"W5",35,"Female",423,16,"beer_goggles",7
"W10",69,"Female",424,16,"beer_goggles",7
"W8",44,"Female",425,16,"beer_goggles",6
"W12",37,"Female",426,16,"beer_goggles",6
"W2",70,"Female",427,16,"beer_goggles",3
"W15",44,"Male",428,16,"beer_goggles",4
"W11",47,"Male",429,16,"beer_goggles",2
"W23",36,"Female",430,16,"beer_goggles",1
"W19",49,"Male",431,16,"beer_goggles",6
"W20",37,"Female",432,16,"beer_goggles",7
"W21",42,"Male",433,16,"beer_goggles",6
"W14",59,"Male",434,16,"beer_goggles",2
"W26",34,"Male",435,16,"beer_goggles",7
"W4",38,"Nonbinary",436,16,"beer_goggles",1
"W13",52,"Female",437,16,"beer_goggles",7
"W9",57,"Female",438,16,"beer_goggles",2
"W6",54,"Male",439,16,"beer_goggles",5
"W1",50,"Female",440,16,"beer_goggles",4
"W24",41,"Female",441,16,"beer_goggles",7
"W25",43,"Male",442,16,"beer_goggles",3
"W22",50,"Female",443,17,"big_brother",1
"W18",37,"Male",444,17,"big_brother",3
"W21",42,"Male",445,17,"big_brother",6
"W11",47,"Male",446,17,"big_brother",4
"W8",44,"Female",447,17,"big_brother",5
"W12",37,"Female",448,17,"big_brother",2
"W15",44,"Male",449,17,"big_brother",3
"W24",41,"Female",450,17,"big_brother",3
"W1",50,"Female",451,17,"big_brother",4
"W3",65,"Female",452,17,"big_brother",5
"W7",40,"Male",453,17,"big_brother",1
"W13",52,"Female",454,17,"big_brother",4
"W10",69,"Female",455,17,"big_brother",6
"W5",35,"Female",456,17,"big_brother",2
"W9",57,"Female",457,17,"big_brother",5
"W17",51,"Female",458,17,"big_brother",2
"W6",54,"Male",459,17,"big_brother",3
"W14",59,"Male",460,17,"big_brother",2
"W26",34,"Male",461,17,"big_brother",7
"W23",36,"Female",462,17,"big_brother",1
"W25",43,"Male",463,17,"big_brother",5
"W4",38,"Nonbinary",464,17,"big_brother",2
"W16",34,"Male",465,17,"big_brother",3
"W19",49,"Male",466,17,"big_brother",4
"W20",37,"Female",467,17,"big_brother",2
"W2",70,"Female",468,17,"big_brother",6
"W12",37,"Female",469,18,"big_cheese",1
"W20",37,"Female",470,18,"big_cheese",3
"W24",41,"Female",471,18,"big_cheese",2
"W3",65,"Female",472,18,"big_cheese",2
"W15",44,"Male",473,18,"big_cheese",2
"W14",59,"Male",474,18,"big_cheese",3
"W7",40,"Male",475,18,"big_cheese",1
"W25",43,"Male",476,18,"big_cheese",3
"W23",36,"Female",477,18,"big_cheese",1
"W13",52,"Female",478,18,"big_cheese",1
"W6",54,"Male",479,18,"big_cheese",3
"W16",34,"Male",480,18,"big_cheese",3
"W2",70,"Female",481,18,"big_cheese",2
"W22",50,"Female",482,18,"big_cheese",1
"W8",44,"Female",483,18,"big_cheese",4
"W19",49,"Male",484,18,"big_cheese",2
"W26",34,"Male",485,18,"big_cheese",2
"W5",35,"Female",486,18,"big_cheese",3
"W9",57,"Female",487,18,"big_cheese",6
"W17",51,"Female",488,18,"big_cheese",2
"W21",42,"Male",489,18,"big_cheese",3
"W10",69,"Female",490,18,"big_cheese",7
"W18",37,"Male",491,18,"big_cheese",3
"W4",38,"Nonbinary",492,18,"big_cheese",3
"W11",47,"Male",493,18,"big_cheese",4
"W1",50,"Female",494,18,"big_cheese",4
"W7",40,"Male",495,19,"big_fish",1
"W9",57,"Female",496,19,"big_fish",2
"W5",35,"Female",497,19,"big_fish",5
"W16",34,"Male",498,19,"big_fish",3
"W20",37,"Female",499,19,"big_fish",4
"W21",42,"Male",500,19,"big_fish",5
"W24",41,"Female",501,19,"big_fish",2
"W4",38,"Nonbinary",502,19,"big_fish",3
"W8",44,"Female",503,19,"big_fish",5
"W23",36,"Female",504,19,"big_fish",1
"W13",52,"Female",505,19,"big_fish",1
"W10",69,"Female",506,19,"big_fish",6
"W3",65,"Female",507,19,"big_fish",1
"W22",50,"Female",508,19,"big_fish",1
"W11",47,"Male",509,19,"big_fish",4
"W12",37,"Female",510,19,"big_fish",4
"W2",70,"Female",511,19,"big_fish",3
"W6",54,"Male",512,19,"big_fish",3
"W26",34,"Male",513,19,"big_fish",5
"W14",59,"Male",514,19,"big_fish",3
"W18",37,"Male",515,19,"big_fish",1
"W19",49,"Male",516,19,"big_fish",4
"W17",51,"Female",517,19,"big_fish",2
"W15",44,"Male",518,19,"big_fish",1
"W25",43,"Male",519,19,"big_fish",5
"W1",50,"Female",520,19,"big_fish",2
"W11",47,"Male",521,20,"bitter_end",3
"W10",69,"Female",522,20,"bitter_end",2
"W23",36,"Female",523,20,"bitter_end",2
"W13",52,"Female",524,20,"bitter_end",1
"W22",50,"Female",525,20,"bitter_end",1
"W14",59,"Male",526,20,"bitter_end",2
"W25",43,"Male",527,20,"bitter_end",3
"W7",40,"Male",528,20,"bitter_end",2
"W20",37,"Female",529,20,"bitter_end",1
"W15",44,"Male",530,20,"bitter_end",2
"W17",51,"Female",531,20,"bitter_end",2
"W6",54,"Male",532,20,"bitter_end",3
"W26",34,"Male",533,20,"bitter_end",4
"W2",70,"Female",534,20,"bitter_end",2
"W5",35,"Female",535,20,"bitter_end",1
"W3",65,"Female",536,20,"bitter_end",4
"W12",37,"Female",537,20,"bitter_end",1
"W24",41,"Female",538,20,"bitter_end",1
"W9",57,"Female",539,20,"bitter_end",5
"W21",42,"Male",540,20,"bitter_end",3
"W8",44,"Female",541,20,"bitter_end",3
"W4",38,"Nonbinary",542,20,"bitter_end",2
"W18",37,"Male",543,20,"bitter_end",1
"W1",50,"Female",544,20,"bitter_end",1
"W19",49,"Male",545,20,"bitter_end",4
"W16",34,"Male",546,20,"bitter_end",4
"W4",38,"Nonbinary",547,21,"bitter_pill",1
"W17",51,"Female",548,21,"bitter_pill",2
"W22",50,"Female",549,21,"bitter_pill",1
"W11",47,"Male",550,21,"bitter_pill",2
"W26",34,"Male",551,21,"bitter_pill",5
"W25",43,"Male",552,21,"bitter_pill",2
"W3",65,"Female",553,21,"bitter_pill",2
"W10",69,"Female",554,21,"bitter_pill",6
"W2",70,"Female",555,21,"bitter_pill",2
"W5",35,"Female",556,21,"bitter_pill",2
"W21",42,"Male",557,21,"bitter_pill",3
"W14",59,"Male",558,21,"bitter_pill",2
"W8",44,"Female",559,21,"bitter_pill",3
"W20",37,"Female",560,21,"bitter_pill",2
"W15",44,"Male",561,21,"bitter_pill",1
"W24",41,"Female",562,21,"bitter_pill",3
"W1",50,"Female",563,21,"bitter_pill",1
"W13",52,"Female",564,21,"bitter_pill",2
"W16",34,"Male",565,21,"bitter_pill",4
"W23",36,"Female",566,21,"bitter_pill",5
"W7",40,"Male",567,21,"bitter_pill",1
"W12",37,"Female",568,21,"bitter_pill",1
"W18",37,"Male",569,21,"bitter_pill",1
"W19",49,"Male",570,21,"bitter_pill",4
"W6",54,"Male",571,21,"bitter_pill",3
"W9",57,"Female",572,21,"bitter_pill",6
"W10",69,"Female",573,22,"bitter_truth",3
"W8",44,"Female",574,22,"bitter_truth",5
"W21",42,"Male",575,22,"bitter_truth",5
"W17",51,"Female",576,22,"bitter_truth",2
"W11",47,"Male",577,22,"bitter_truth",2
"W15",44,"Male",578,22,"bitter_truth",3
"W9",57,"Female",579,22,"bitter_truth",7
"W19",49,"Male",580,22,"bitter_truth",4
"W13",52,"Female",581,22,"bitter_truth",1
"W6",54,"Male",582,22,"bitter_truth",3
"W1",50,"Female",583,22,"bitter_truth",3
"W26",34,"Male",584,22,"bitter_truth",4
