Ps.number,Cue.number,Response.number,cues,Response,RT,Response_singular.x,Response_spelling,Minkowski.3.distance.n_cue,Mink3.overlap.n_cue,Response_finalAmE,Response_finalBrE,n_1,n_1_sing,Mink3.dist.n_1,Mink3.overlap.n_1,n_2,n_2_sing,Mink3.dist.n_2,Mink3.overlap.n_2,n_3,n_3_sing,Mink3.dist.n_3,Mink3.overlap.n_3,n_4,n_4_sing,Mink3.dist.n_4,Mink3.overlap.n_4,n_5,n_5_sing,Mink3.dist.n_5,Mink3.overlap.n_5,PPMI.n_cue,n_1_BrE,PPMI.n_1,n_2_BrE,PPMI.n_2,n_3_BrE,PPMI.n_3,n_4_BrE,PPMI.n_4,n_5_BrE,PPMI.n_5,PPMI.max,PPMI.max.which,Mink3.max,Mink3.max.which,PPMI.max.which2,Mink3.max.which2,logRT,PPMI.source,Mink3.source,Mink.max_nocue,PPMI.max_nocue,ZipfUK
3,32,11,SPANK,BELT,458.7,BELT,NA,2.895346276,8.224653724,BELT,BELT,LEATHER,LEATHER,3.163399487,7.956600513,BOOK,BOOK,3.393873868,7.726126132,HAND,HAND,2.868705082,8.251294918,CANE,CANE,2.609365086,8.510634914,TEACHER,TEACHER,4.011378951,7.108621049,0,LEATHER,5.363222348,BOOK,0,HAND,0,CANE,4.148377613,TEACHER,0.622034261,5.363222348,2,8.510634914,5,n-1,n-4,2.66152874,1,1,4,1,4.32
10,32,11,SPANK,FAMILY,773.5,FAMILY,NA,3.57454014,7.54545986,FAMILY,FAMILY,EMBRACE,EMBRACE,3.95638301,7.16361699,LOVING,LOVING,2.35169501,8.76830499,KIND,KIND,1.967319913,9.152680087,HELPING,HELPING,2.625526782,8.494473218,WARM,WARM,4.384415506,6.735584494,0,EMBRACE,0.433345762,LOVING,2.405746542,KIND,0,HELPING,1.241305883,WARM,0,2.405746542,3,9.152680087,4,n-2,n-3,2.888460318,1,1,3,2,5.68
18,32,11,SPANK,PUISHMENT,730.2,PUISHMENT,PUNISHMENT,2.846145171,8.273854829,PUNISHMENT,PUNISHMENT,HURTFUL,HURTFUL,2.401585492,8.718414508,PLAYFUL,PLAYFUL,1.0692737,10.0507263,SOFT,SOFT,2.948669664,8.171330336,HARD,HARD,2.555996581,8.564003419,HAND,HAND,3.319729061,7.800270939,0,HURTFUL,0,PLAYFUL,0,SOFT,0.900256565,HARD,0,HAND,0.547756275,0.900256565,4,10.0507263,3,n-3,n-2,2.863441829,1,1,2,3,4.06
25,32,11,SPANK,MAYBE,808.6,MAYBE,NA,4.912775224,6.207224776,MAYBE,MAYBE,HURT,HURT,3.903585309,7.216414691,PILLOW,PILLOW,5.365982053,5.754017947,SNUGGLE,SNUGGLE,5.338110958,5.781889042,BED,BED,5.347673008,5.772326992,COVER,COVER,3.394254459,7.725745541,0,HURT,0.495749932,PILLOW,1.052366549,SNUGGLE,2.760185797,BED,0.18530175,COVER,0,2.760185797,4,7.725745541,6,n-3,n-5,2.907733737,1,1,5,3,5.61
28,32,11,SPANK,PLAY,4846.7,PLAY,NA,3.806889445,7.313110555,PLAY,PLAY,ABUSE,ABUSE,1.664442473,9.455557527,FEAR,FEAR,2.909546054,8.210453946,HARM,HARM,2.380860974,8.739139026,HURT,HURT,1.96996771,9.15003229,WHOLLOP,WHOLLOP,NA,NA,1.590396713,ABUSE,0,FEAR,0,HARM,0,HURT,0,WHOLLOP,NA,1.590396713,1,9.455557527,2,n-cue,n-1,3.685446139,0,1,1,1,5.69
36,32,11,SPANK,HIDE,3611,HIDE,NA,4.225645701,6.894354299,HIDE,HIDE,CRY,CRY,4.347336033,6.772663967,CLOBBER,CLOBBER,2.854823539,8.265176461,HIT,HIT,3.146594471,7.973405529,WACK,WACK,NA,NA,WALLOP,WALLOP,3.210591049,7.909408951,0,CRY,0.300491647,CLOBBER,0,HIT,0,WACK,0,WALLOP,0,0.300491647,2,8.265176461,3,n-1,n-2,3.557627488,1,1,2,1,4.66
40,32,11,SPANK,HAND,6341,HAND,NA,2.515860876,8.604139124,HAND,HAND,RED,RED,5.008436112,6.111563888,NAUGHTY,NAUGHTY,3.870324036,7.249675964,SMACK,SMACK,2.662784507,8.457215493,WHIP,WHIP,2.544231011,8.575768989,SEX,SEX,5.82130885,5.29869115,0,RED,0.207456704,NAUGHTY,0.278959314,SMACK,1.936366557,WHIP,2.469531108,SEX,0,2.469531108,5,8.604139124,1,n-4,n-cue,3.802157753,1,0,4,4,5.44
7,33,11,SPOKESPERSON,CLEAR,394.5,CLEAR,NA,2.270260455,8.849739545,CLEAR,CLEAR,LOUD,LOUD,3.510287506,7.609712494,AUDIO,AUDIO,4.096426072,7.023573928,TV,TV,2.839566505,8.280433495,ENTERTAINMENT,ENTERTAINMENT,2.566518508,8.553481492,SPORTS,SPORT,4.029981314,7.090018686,0,LOUD,4.995892633,AUDIO,0,TV,0,ENTERTAINMENT,0,SPORTS,0,4.995892633,2,8.849739545,1,n-1,n-cue,2.596047008,1,0,4,1,5.37
8,33,11,SPOKESPERSON,TEAM,15226,TEAM,NA,2.444584068,8.675415932,TEAM,TEAM,LISTENING,LISTENING,4.272174712,6.847825288,LISTENERS,LISTENER,3.242261885,7.877738115,NOTES,NOTE,2.439290389,8.680709611,CONFIDENT,CONFIDENT,3.141164273,7.978835727,NERVOUS,NERVOU,3.557507261,7.562492739,0,LISTENING,0,LISTENERS,0,NOTES,0,CONFIDENT,1.365360043,NERVOUS,0,1.365360043,5,8.680709611,4,n-4,n-3,4.182585825,1,1,3,4,5.67
12,33,11,SPOKESPERSON,ARTICULATE,788,ARTICULATE,NA,2.18445856,8.93554144,ARTICULATE,ARTICULATE,LOUD,LOUD,1.600586964,9.519413036,CONFIDENT,CONFIDENT,3.113108843,8.006891157,VOLUNTEER,VOLUNTEER,2.417543678,8.702456322,NOMINATED,NOMINATED,2.125631921,8.994368079,CONFERENCE,CONFERENCE,2.491813249,8.628186751,0,LOUD,0,CONFIDENT,2.537017224,VOLUNTEER,0,NOMINATED,0,CONFERENCE,0,2.537017224,3,9.519413036,2,n-2,n-1,2.896526217,1,1,1,2,3.37
