Concept_NO,Image_NO,Concept,Concept_Image,URL,Attribution
12,47,beagle,3,https://commons.wikimedia.org/wiki/File:MiloSmet.JPG,"Jonatan De Geest (https://commons.wikimedia.org/wiki/File:MiloSmet.JPG), „MiloSmet“, background removed by RvH, https://creativecommons.org/licenses/by-sa/3.0/legalcode"
12,48,beagle,4,https://www.pexels.com/photo/beagle-beside-door-1467714/,"Artem Beliaikin, in public domain"
13,49,wolfhound,1,https://commons.wikimedia.org/wiki/File:Drew_-_Irish_Wolfhound_(21137096806).jpg,"Airwolfhound (https://commons.wikimedia.org/wiki/File:Drew_-_Irish_Wolfhound_(21137096806).jpg), „Drew - Irish Wolfhound (21137096806)“, background removed by RvH, https://creativecommons.org/licenses/by-sa/2.0/legalcode"
13,50,wolfhound,2,https://commons.wikimedia.org/wiki/File:Irish_Wolfhound_3.jpg,"Dux (https://commons.wikimedia.org/wiki/File:Irish_Wolfhound_3.jpg), „Irish Wolfhound 3“, background removed by RvH, https://creativecommons.org/licenses/by-sa/3.0/legalcode"
13,51,wolfhound,3,https://commons.wikimedia.org/wiki/File:Irish_Wolfhound_Sam.jpg,"Tirwhan (https://commons.wikimedia.org/wiki/File:Irish_Wolfhound_Sam.jpg), „Irish Wolfhound Sam“, background removed by RvH, https://creativecommons.org/licenses/by-sa/3.0/legalcode"
13,52,wolfhound,4,https://commons.wikimedia.org/wiki/File:Irish_Wolfhound.jpg,"D.Schoen (https://commons.wikimedia.org/wiki/File:Irish_Wolfhound.jpg), „Irish Wolfhound“, background removed by RvH, https://creativecommons.org/licenses/by-sa/3.0/legalcode"
14,53,dachshund,1,https://upload.wikimedia.org/wikipedia/en/f/f2/Standard_Wire-hair_Dachshund.jpg,"anonymous (https://en.wikipedia.org/wiki/File:Standard_Wire-hair_Dachshund.jpg), „Standard Wire-hair Dachshund“, background removed by RvH, https://creativecommons.org/licenses/by-sa/2.5/legalcode"
14,54,dachshund,2,https://pxhere.com/en/photo/1148354,in public domain
14,55,dachshund,3,https://pxhere.com/en/photo/1060830,in public domain
14,56,dachshund,4,https://pxhere.com/en/photo/1351129,in public domain
15,57,collie,1,https://commons.wikimedia.org/wiki/File:Rough-Collie-japan08.jpg,"Yasu w (https://commons.wikimedia.org/wiki/File:Rough-Collie-japan08.jpg), background removed by RvH, https://creativecommons.org/licenses/by-sa/4.0/legalcode"
